Jo,Jw,JA,eps,fluid velocity,Jl,Xo,Xw,Xa,rho(hom),eps(armand) 
0.54,0.66,0.75,0.42,1.2,1.2,0.276923076923077,0.338461538461538,0.384615384615385,584.076923076923,0.512820512820513
0.54,0.66,1.5,0.44,1.2,1.2,0.2,0.244444444444444,0.555555555555556,421.833333333333,0.37037037037037
0.54,0.66,2.25,0.42,1.2,1.2,0.156521739130435,0.191304347826087,0.652173913043478,330.130434782609,0.289855072463768
0.54,0.88,0.75,0.4,1.42,1.42,0.248847926267281,0.405529953917051,0.345622119815668,625.990783410138,0.54531490015361
0.54,0.88,1.5,0.4,1.42,1.42,0.184931506849315,0.301369863013699,0.513698630136986,465.205479452055,0.405251141552511
0.54,0.88,2.25,0.4,1.42,1.42,0.147138964577657,0.239782016348774,0.61307901907357,370.136239782016,0.322434150772025
0.54,1.10 ,0.75,0.31,1.64,1.64,0.225941422594142,0.460251046025105,0.313807531380753,660.188284518829,0.571827057182706
0.54,1.10 ,1.5,0.35,1.64,1.64,0.171974522292994,0.35031847133758,0.477707006369427,502.5,0.435244161358811
0.54,1.10 ,2.25,0.36,1.64,1.64,0.138817480719794,0.282776349614396,0.57840616966581,405.616966580977,0.351328191945159
0.54,1.32,0.75,0.27,1.86,1.86,0.206896551724138,0.505747126436782,0.28735632183908,688.620689655172,0.593869731800766
0.54,1.32,1.5,0.31,1.86,1.86,0.160714285714286,0.392857142857143,0.446428571428571,534.910714285714,0.461309523809524
0.54,1.32,2.25,0.37,1.86,1.86,0.131386861313869,0.321167883211679,0.547445255474453,437.299270072993,0.37712895377129
0.72,0.66,0.75,0.38,1.38,1.38,0.338028169014085,0.309859154929578,0.352112676056338,609.929577464789,0.539906103286385
0.72,0.66,1.5,0.41,1.38,1.38,0.25,0.229166666666667,0.520833333333333,451.09375,0.399305555555556
0.72,0.66,2.25,0.45,1.38,1.38,0.198347107438017,0.181818181818182,0.619834710743802,357.892561983471,0.316804407713499
0.72,0.88,0.75,0.32,1.6,1.6,0.306382978723404,0.374468085106383,0.319148936170213,646.212765957447,0.567375886524823
0.72,0.88,1.5,0.34,1.6,1.6,0.232258064516129,0.283870967741936,0.483870967741935,489.870967741936,0.43010752688172
0.72,0.88,2.25,0.38,1.6,1.6,0.187012987012987,0.228571428571429,0.584415584415584,394.441558441558,0.346320346320346
0.72,1.10 ,0.75,0.33,1.82,1.82,0.280155642023346,0.428015564202335,0.291828793774319,676.284046692607,0.590142671854734
0.72,1.10 ,1.5,0.38,1.82,1.82,0.216867469879518,0.331325301204819,0.451807228915663,523.509036144578,0.456827309236948
0.72,1.10 ,2.25,0.38,1.82,1.82,0.176904176904177,0.27027027027027,0.552825552825553,427.039312039312,0.372645372645373
0.72,1.32,0.75,0.25,2.04,2.04,0.258064516129032,0.473118279569893,0.268817204301075,701.612903225807,0.609318996415771
0.72,1.32,1.5,0.29,2.04,2.04,0.203389830508475,0.372881355932203,0.423728813559322,552.966101694915,0.480225988700565
0.72,1.32,2.25,0.30 ,2.04,2.04,0.167832167832168,0.307692307692308,0.524475524475525,456.293706293706,0.396270396270396
0.89,0.66,0.75,0.35,1.55,1.55,0.386956521739131,0.28695652173913,0.326086956521739,630.630434782609,0.561594202898551
0.89,0.66,1.5,0.38,1.55,1.55,0.291803278688525,0.216393442622951,0.491803278688525,475.55737704918,0.423497267759563
0.89,0.66,2.25,0.40 ,1.55,1.55,0.234210526315789,0.173684210526316,0.592105263157895,381.697368421053,0.339912280701754
0.89,0.88,0.75,0.32,1.77,1.77,0.353174603174603,0.349206349206349,0.297619047619048,662.65873015873,0.58531746031746
0.89,0.88,1.5,0.37,1.77,1.77,0.27217125382263,0.269113149847095,0.458715596330275,510.672782874618,0.451070336391437
0.89,0.88,2.25,0.38,1.77,1.77,0.221393034825871,0.218905472636816,0.559701492537314,415.398009950249,0.366915422885572
0.89,1.10 ,0.75,0.30 ,1.99,1.99,0.324817518248175,0.401459854014599,0.273722627737226,689.543795620438,0.605231143552311
0.89,1.10 ,1.5,0.31,1.99,1.99,0.255014326647564,0.315186246418338,0.429799426934097,541.361031518625,0.475167144221585
0.89,1.10 ,2.25,0.37,1.99,1.99,0.209905660377358,0.259433962264151,0.530660377358491,445.60141509434,0.391116352201258
0.89,1.32,0.75,0.24,2.21,2.21,0.300675675675676,0.445945945945946,0.253378378378378,712.432432432433,0.622184684684685
0.89,1.32,1.5,0.30 ,2.21,2.21,0.23989218328841,0.355795148247979,0.404312668463612,568.409703504043,0.496406109613657
0.89,1.32,2.25,0.35,2.21,2.21,0.199551569506726,0.295964125560538,0.504484304932735,472.825112107623,0.412929745889387
1.07,0.66,0.75,0.31,1.73,1.73,0.431451612903226,0.266129032258065,0.30241935483871,649.45564516129,0.581317204301075
1.07,0.66,1.5,0.32,1.73,1.73,0.331269349845201,0.204334365325077,0.464396284829721,498.653250773994,0.446336429308566
1.07,0.66,2.25,0.40 ,1.73,1.73,0.268844221105528,0.165829145728643,0.565326633165829,404.685929648241,0.362227805695142
1.07,0.88,0.75,0.24,1.95,1.95,0.396296296296296,0.325925925925926,0.277777777777778,677.814814814815,0.601851851851852
1.07,0.88,1.5,0.35,1.95,1.95,0.310144927536232,0.255072463768116,0.434782608695652,530.463768115942,0.471014492753623
1.07,0.88,2.25,0.36,1.95,1.95,0.254761904761905,0.20952380952381,0.535714285714286,435.738095238095,0.386904761904762
1.07,1.10 ,0.75,1.19,2.17,2.17,0.366438356164384,0.376712328767123,0.256849315068493,701.900684931507,0.619292237442922
1.07,1.10 ,1.5,0.27,2.17,2.17,0.291553133514986,0.299727520435967,0.408719346049046,558.460490463215,0.492733878292461
1.07,1.10 ,2.25,0.34,2.17,2.17,0.242081447963801,0.248868778280543,0.509049773755656,463.699095022625,0.409125188536953
1.07,1.32,0.75,0.09,2.39,2.39,0.340764331210191,0.420382165605096,0.238853503184713,722.611464968153,0.634288747346072
1.07,1.32,1.5,0.15,2.39,2.39,0.275064267352185,0.339331619537275,0.38560411311054,583.290488431877,0.511996572407883
1.07,1.32,2.25,0.19,2.39,2.39,0.230603448275862,0.28448275862069,0.484913793103448,489.008620689655,0.429238505747127
