N, t ,v, bu 
0,0,0,0
0.00E+00,1480950,1.39E+11,1
0.00E+00,2961900,1.27E+12,2
0.00E+00,4442850,4.08E+12,3
0.00E+00,5923800,8.91E+12,4
0.00E+00,7404750,1.60E+13,5
0.00E+00,8885700,2.56E+13,6
0.00E+00,10366650,3.79E+13,7
0.00E+00,11847600,5.29E+13,8
0.00E+00,13328550,7.10E+13,9
0.00E+00,14809500,9.22E+13,10
0.00E+00,16290450,1.17E+14,11
0.00E+00,17771400,1.44E+14,12
0.00E+00,19252350,1.75E+14,13
0.00E+00,20733300,2.10E+14,14
0.00E+00,22214250,2.48E+14,15
0.00E+00,23695200,2.90E+14,16
0.00E+00,25176150,3.36E+14,17
0.00E+00,26657100,3.86E+14,18
0.00E+00,28138050,4.39E+14,19
0.00E+00,29619000,4.96E+14,20
0.00E+00,31099950,5.58E+14,21
0.00E+00,32580900,6.23E+14,22
0.00E+00,34061850,6.92E+14,23
0.00E+00,35542800,7.65E+14,24
0.00E+00,37023750,8.43E+14,25
0.00E+00,38504700,9.24E+14,26
0.00E+00,39985650,1.01E+15,27
0.00E+00,41466600,1.10E+15,28
0.00E+00,42947550,1.19E+15,29
0.00E+00,44428500,1.29E+15,30
0.00E+00,45909450,1.39E+15,31
0.00E+00,47390400,1.50E+15,32
0.00E+00,48871350,1.61E+15,33
0.00E+00,50352300,1.72E+15,34
0.00E+00,51833250,1.83E+15,35
0.00E+00,53314200,1.95E+15,36
0.00E+00,54795150,2.08E+15,37
0.00E+00,56276100,2.20E+15,38
0.00E+00,57757050,2.33E+15,39
0.00E+00,59238000,2.46E+15,40
0.00E+00,60718950,2.60E+15,41
0.00E+00,62199900,2.74E+15,42
0.00E+00,63680850,2.88E+15,43
0.00E+00,65161800,3.02E+15,44
0.00E+00,66642750,3.16E+15,45
0.00E+00,68123700,3.31E+15,46
0.00E+00,69604650,3.46E+15,47
0.00E+00,71085600,3.61E+15,48
0.00E+00,72566550,3.75E+15,49
9.76E+16,74047500,3.91E+15,50
1.01E+17,75528450,4.06E+15,51
1.05E+17,77009400,4.21E+15,52
1.09E+17,78490350,4.36E+15,53
1.13E+17,79971300,4.51E+15,54
1.16E+17,81452250,4.66E+15,55
1.20E+17,82933200,4.81E+15,56
1.24E+17,84414150,4.95E+15,57
1.27E+17,85895100,5.10E+15,58
