 N ,t,v, alpha, bu 
2.07E+17,72538019.01,3.86E+15,0.127291468,50
2.45E+17,73900267.49,3.33E+15,0.135403409,51
2.24E+17,77398725.85,4.87E+15,0.143817069,52
1.96E+17,77698152.03,5.38E+15,0.152532053,53
2.32E+17,77982709.39,5.39E+15,0.161547329,54
1.85E+17,82700237.85,5.46E+15,0.170861213,55
2.42E+17,82504646.11,5.11E+15,0.180471356,56
2.90E+17,86474198.9,5.02E+15,0.19037473,57
3.00E+17,85401293.6,4.28E+15,0.200567617,58
3.02E+17,85428946.25,5.60E+15,0.211045598,59
2.72E+17,87215559.96,5.96E+15,0.221803551,60
3.16E+17,89572708.7,6.69E+15,0.232835644,61
2.64E+17,90020770.5,5.56E+15,0.244135333,62
2.53E+17,95489374.7,5.38E+15,0.255695364,63
3.45E+17,94088104.8,5.90E+15,0.267507775,64
3.43E+17,94598929.94,7.01E+15,0.279563905,65
2.52E+17,96442967.56,6.97E+15,0.291854401,66
3.83E+17,98812888.53,5.54E+15,0.304369228,67
3.14E+17,103185990.3,6.49E+15,0.317097689,68
3.59E+17,100386171.3,6.25E+15,0.330028439,69
3.07E+17,105494390.5,7.63E+15,0.34314951,70
3.28E+17,103333374.2,8.20E+15,0.35644833,71
4.20E+17,106142033.7,6.88E+15,0.369911753,72
3.80E+17,110615328,6.67E+15,0.38352609,73
3.51E+17,111773068.6,6.48E+15,0.397277139,74
4.27E+17,109192453.7,8.29E+15,0.411150224,75
3.87E+17,109886176.6,8.43E+15,0.425130233,76
2.67E+17,115688559.3,5.65E+15,0.439201654,77
4.01E+17,112981155.7,5.93E+15,0.453348627,78
4.39E+17,114136937.1,6.24E+15,0.467554985,79
3.26E+17,118525964.9,7.87E+15,0.4818043,80
4.30E+17,117537510.9,7.09E+15,0.496079941,81
3.31E+17,124416665.5,7.89E+15,0.510365116,82
4.28E+17,120501213.7,5.59E+15,0.524642932,83
3.04E+17,124153276.5,8.31E+15,0.538896448,84
3.91E+17,126296129.9,8.01E+15,0.553108729,85
2.75E+17,124797437,7.15E+15,0.567262904,86
3.95E+17,129328740.4,8.42E+15,0.581342219,87
4.37E+17,128495043.5,6.52E+15,0.5953301,88
4.00E+17,133461439,8.07E+15,0.609210203,89
3.61E+17,134772361.6,6.72E+15,0.622966474,90
3.15E+17,134301841.3,6.28E+15,0.6365832,91
3.26E+17,134217843.5,6.25E+15,0.650045069,92
3.08E+17,134688833,8.11E+15,0.663337215,93
2.47E+17,138596910.8,6.28E+15,0.676445274,94
3.56E+17,141584334.3,6.47E+15,0.689355431,95
2.44E+17,141683957.5,4.87E+15,0.702054464,96
2.66E+17,145962414.1,7.66E+15,0.714529789,97
3.19E+17,141646994,5.46E+15,0.726769501,98
2.29E+17,143511830.6,4.54E+15,0.738762409,99
3.18E+17,148157679.2,6.50E+15,0.750498072,100
3.47E+17,149631894.4,5.20E+15,0.761966827,101
3.49E+17,149244289.2,6.70E+15,0.773159816,102
2.88E+17,150716762.9,5.52E+15,0.784069007,103
2.94E+17,150538814,5.35E+15,0.794687216,104
2.26E+17,153451889.7,4.96E+15,0.805008115,105
2.05E+17,156436814.2,3.89E+15,0.815026245,106
2.41E+17,158908225.9,5.68E+15,0.824737022,107
2.00E+17,156731583.3,5.47E+15,0.834136736,108
1.91E+17,164210644,5.33E+15,0.843222546,109
2.38E+17,161050233.6,5.14E+15,0.851992478,110
1.86E+17,167315968.5,4.72E+15,0.860445406,111
2.02E+17,162215897.9,4.29E+15,0.868581041,112
2.27E+17,164556292.4,3.98E+15,0.876399912,113
1.54E+17,171719895.8,3.73E+15,0.883903337,114
1.64E+17,169978715.4,3.08E+15,0.891093401,115
1.84E+17,172227756.8,3.85E+15,0.897972925,116
1.38E+17,169692121.7,2.52E+15,0.904545432,117
1.69E+17,177356102.4,3.20E+15,0.91081511,118
1.48E+17,175129187.7,3.45E+15,0.916786776,119
1.51E+17,176492794.4,3.12E+15,0.922465834,120
1.57E+17,183610730.7,2.13E+15,0.927858234,121
1.42E+17,181122645.8,3.01E+15,0.932970425,122
1.25E+17,185581901.5,2.81E+15,0.937809315,123
1.41E+17,182647096.2,2.74E+15,0.94238222,124
1.02E+17,184813578.8,2.53E+15,0.946696821,125
1.14E+17,186307285.9,1.93E+15,0.950761118,126
8.39E+16,184964384.2,1.93E+15,0.954583381,127
9.25E+16,186383463.4,1.76E+15,0.958172105,128
7.97E+16,189342201.9,1.95E+15,0.961535966,129
8.30E+16,194985934.6,1.91E+15,0.964683775,130
6.75E+16,195286522.6,1.41E+15,0.967624438,131
8.22E+16,198634795.9,1.53E+15,0.97036691,132
5.50E+16,193059198.4,1.57E+15,0.972920162,133
4.88E+16,201817121,1.41E+15,0.975293135,134
5.13E+16,204809713.5,1.22E+15,0.977494712,135
6.11E+16,199530577.3,1.04E+15,0.97953368,136
5.85E+16,198593083.7,9.01E+14,0.981418701,137
4.27E+16,205840680.5,1.04E+15,0.983158283,138
4.76E+16,208833004,6.18E+14,0.984760755,139
3.74E+16,206140520.9,5.72E+14,0.98623424,140
3.04E+16,211017742.9,7.01E+14,0.98758664,141
3.22E+16,205301604.6,5.91E+14,0.988825613,142
2.47E+16,216495966.9,5.29E+14,0.989958558,143
2.18E+16,211708845.8,6.46E+14,0.990992606,144
2.07E+16,215400688.5,3.99E+14,0.991934604,145
1.96E+16,212369518.5,4.54E+14,0.99279111,146
1.76E+16,216473875.2,4.85E+14,0.993568386,147
1.53E+16,223881853,4.08E+14,0.994272395,148
1.80E+16,215546141,3.59E+14,0.994908798,149
1.45E+16,226882655.1,2.42E+14,0.995482954,150
