 N , t ,v, alpha, bu 
1.95E+18,74047500,3.91E+15,0.127291468,50
2.03E+18,75528450,4.06E+15,0.135403409,51
2.10E+18,77009400,4.21E+15,0.143817069,52
2.18E+18,78490350,4.36E+15,0.152532053,53
2.25E+18,79971300,4.51E+15,0.161547329,54
2.33E+18,81452250,4.66E+15,0.170861213,55
2.40E+18,82933200,4.81E+15,0.180471356,56
2.48E+18,84414150,4.95E+15,0.19037473,57
2.55E+18,85895100,5.10E+15,0.200567617,58
2.62E+18,87376050,5.24E+15,0.211045598,59
2.69E+18,88857000,5.38E+15,0.221803551,60
2.76E+18,90337950,5.52E+15,0.232835644,61
2.82E+18,91818900,5.65E+15,0.244135333,62
2.89E+18,93299850,5.78E+15,0.255695364,63
2.95E+18,94780800,5.91E+15,0.267507775,64
3.01E+18,96261750,6.03E+15,0.279563905,65
3.07E+18,97742700,6.15E+15,0.291854401,66
3.13E+18,99223650,6.26E+15,0.304369228,67
3.18E+18,100704600,6.36E+15,0.317097689,68
3.23E+18,102185550,6.47E+15,0.330028439,69
3.28E+18,103666500,6.56E+15,0.34314951,70
3.32E+18,105147450,6.65E+15,0.35644833,71
3.37E+18,106628400,6.73E+15,0.369911753,72
3.40E+18,108109350,6.81E+15,0.38352609,73
3.44E+18,109590300,6.88E+15,0.397277139,74
3.47E+18,111071250,6.94E+15,0.411150224,75
3.49E+18,112552200,6.99E+15,0.425130233,76
3.52E+18,114033150,7.04E+15,0.439201654,77
3.54E+18,115514100,7.07E+15,0.453348627,78
3.55E+18,116995050,7.10E+15,0.467554985,79
3.56E+18,118476000,7.12E+15,0.4818043,80
3.57E+18,119956950,7.14E+15,0.496079941,81
3.57E+18,121437900,7.14E+15,0.510365116,82
3.57E+18,122918850,7.14E+15,0.524642932,83
3.56E+18,124399800,7.13E+15,0.538896448,84
3.55E+18,125880750,7.11E+15,0.553108729,85
3.54E+18,127361700,7.08E+15,0.567262904,86
3.52E+18,128842650,7.04E+15,0.581342219,87
3.50E+18,130323600,6.99E+15,0.5953301,88
3.47E+18,131804550,6.94E+15,0.609210203,89
3.44E+18,133285500,6.88E+15,0.622966474,90
3.40E+18,134766450,6.81E+15,0.6365832,91
3.37E+18,136247400,6.73E+15,0.650045069,92
3.32E+18,137728350,6.65E+15,0.663337215,93
3.28E+18,139209300,6.55E+15,0.676445274,94
3.23E+18,140690250,6.46E+15,0.689355431,95
3.17E+18,142171200,6.35E+15,0.702054464,96
3.12E+18,143652150,6.24E+15,0.714529789,97
3.06E+18,145133100,6.12E+15,0.726769501,98
3.00E+18,146614050,6.00E+15,0.738762409,99
2.93E+18,148095000,5.87E+15,0.750498072,100
2.87E+18,149575950,5.73E+15,0.761966827,101
2.80E+18,151056900,5.60E+15,0.773159816,102
2.73E+18,152537850,5.45E+15,0.784069007,103
2.65E+18,154018800,5.31E+15,0.794687216,104
2.58E+18,155499750,5.16E+15,0.805008115,105
2.50E+18,156980700,5.01E+15,0.815026245,106
2.43E+18,158461650,4.86E+15,0.824737022,107
2.35E+18,159942600,4.70E+15,0.834136736,108
2.27E+18,161423550,4.54E+15,0.843222546,109
2.19E+18,162904500,4.38E+15,0.851992478,110
2.11E+18,164385450,4.23E+15,0.860445406,111
2.03E+18,165866400,4.07E+15,0.868581041,112
1.95E+18,167347350,3.91E+15,0.876399912,113
1.88E+18,168828300,3.75E+15,0.883903337,114
1.80E+18,170309250,3.60E+15,0.891093401,115
1.72E+18,171790200,3.44E+15,0.897972925,116
1.64E+18,173271150,3.29E+15,0.904545432,117
1.57E+18,174752100,3.13E+15,0.91081511,118
1.49E+18,176233050,2.99E+15,0.916786776,119
1.42E+18,177714000,2.84E+15,0.922465834,120
1.35E+18,179194950,2.70E+15,0.927858234,121
1.28E+18,180675900,2.56E+15,0.932970425,122
1.21E+18,182156850,2.42E+15,0.937809315,123
1.14E+18,183637800,2.29E+15,0.94238222,124
1.08E+18,185118750,2.16E+15,0.946696821,125
1.02E+18,186599700,2.03E+15,0.950761118,126
9.56E+17,188080650,1.91E+15,0.954583381,127
8.97E+17,189561600,1.79E+15,0.958172105,128
8.41E+17,191042550,1.68E+15,0.961535966,129
7.87E+17,192523500,1.57E+15,0.964683775,130
7.35E+17,194004450,1.47E+15,0.967624438,131
6.86E+17,195485400,1.37E+15,0.97036691,132
6.38E+17,196966350,1.28E+15,0.972920162,133
5.93E+17,198447300,1.19E+15,0.975293135,134
5.50E+17,199928250,1.10E+15,0.977494712,135
5.10E+17,201409200,1.02E+15,0.97953368,136
4.71E+17,202890150,9.43E+14,0.981418701,137
4.35E+17,204371100,8.70E+14,0.983158283,138
4.01E+17,205852050,8.01E+14,0.984760755,139
3.68E+17,207333000,7.37E+14,0.98623424,140
3.38E+17,208813950,6.76E+14,0.98758664,141
3.10E+17,210294900,6.19E+14,0.988825613,142
2.83E+17,211775850,5.66E+14,0.989958558,143
2.59E+17,213256800,5.17E+14,0.990992606,144
2.36E+17,214737750,4.71E+14,0.991934604,145
2.14E+17,216218700,4.28E+14,0.99279111,146
1.94E+17,217699650,3.89E+14,0.993568386,147
1.76E+17,219180600,3.52E+14,0.994272395,148
1.59E+17,220661550,3.18E+14,0.994908798,149
1.44E+17,222142500,2.87E+14,0.995482954,150
