 N , t ,v, alpha, bu 
3.90522E+15,74047500,3.91E+15,0.127291468,50
3.97644E+15,75528450,4.06E+15,0.135403409,51
4.04503E+15,77009400,4.21E+15,0.143817069,52
4.11084E+15,78490350,4.36E+15,0.152532053,53
4.17374E+15,79971300,4.51E+15,0.161547329,54
4.23358E+15,81452250,4.66E+15,0.170861213,55
4.29024E+15,82933200,4.81E+15,0.180471356,56
4.34359E+15,84414150,4.95E+15,0.19037473,57
4.39349E+15,85895100,5.10E+15,0.200567617,58
4.43982E+15,87376050,5.24E+15,0.211045598,59
4.48248E+15,88857000,5.38E+15,0.221803551,60
4.52135E+15,90337950,5.52E+15,0.232835644,61
4.55633E+15,91818900,5.65E+15,0.244135333,62
4.58731E+15,93299850,5.78E+15,0.255695364,63
4.61422E+15,94780800,5.91E+15,0.267507775,64
4.63697E+15,96261750,6.03E+15,0.279563905,65
4.65549E+15,97742700,6.15E+15,0.291854401,66
4.66971E+15,99223650,6.26E+15,0.304369228,67
4.67958E+15,100704600,6.36E+15,0.317097689,68
4.68505E+15,102185550,6.47E+15,0.330028439,69
4.6861E+15,103666500,6.56E+15,0.34314951,70
4.68268E+15,105147450,6.65E+15,0.35644833,71
4.6748E+15,106628400,6.73E+15,0.369911753,72
4.66244E+15,108109350,6.81E+15,0.38352609,73
4.64562E+15,109590300,6.88E+15,0.397277139,74
4.62436E+15,111071250,6.94E+15,0.411150224,75
4.59869E+15,112552200,6.99E+15,0.425130233,76
4.56864E+15,114033150,7.04E+15,0.439201654,77
4.53429E+15,115514100,7.07E+15,0.453348627,78
4.49568E+15,116995050,7.10E+15,0.467554985,79
4.45291E+15,118476000,7.12E+15,0.4818043,80
4.40606E+15,119956950,7.14E+15,0.496079941,81
4.35524E+15,121437900,7.14E+15,0.510365116,82
4.30055E+15,122918850,7.14E+15,0.524642932,83
4.24212E+15,124399800,7.13E+15,0.538896448,84
4.18008E+15,125880750,7.11E+15,0.553108729,85
4.11459E+15,127361700,7.08E+15,0.567262904,86
4.04578E+15,128842650,7.04E+15,0.581342219,87
3.97383E+15,130323600,6.99E+15,0.5953301,88
3.89891E+15,131804550,6.94E+15,0.609210203,89
3.82119E+15,133285500,6.88E+15,0.622966474,90
3.74086E+15,134766450,6.81E+15,0.6365832,91
3.65812E+15,136247400,6.73E+15,0.650045069,92
3.57316E+15,137728350,6.65E+15,0.663337215,93
3.48619E+15,139209300,6.55E+15,0.676445274,94
3.39741E+15,140690250,6.46E+15,0.689355431,95
3.30704E+15,142171200,6.35E+15,0.702054464,96
3.21529E+15,143652150,6.24E+15,0.714529789,97
3.12238E+15,145133100,6.12E+15,0.726769501,98
3.02851E+15,146614050,6.00E+15,0.738762409,99
2.93392E+15,148095000,5.87E+15,0.750498072,100
2.8388E+15,149575950,5.73E+15,0.761966827,101
2.74338E+15,151056900,5.60E+15,0.773159816,102
2.64786E+15,152537850,5.45E+15,0.784069007,103
2.55245E+15,154018800,5.31E+15,0.794687216,104
2.45736E+15,155499750,5.16E+15,0.805008115,105
2.36277E+15,156980700,5.01E+15,0.815026245,106
2.26887E+15,158461650,4.86E+15,0.824737022,107
2.17586E+15,159942600,4.70E+15,0.834136736,108
2.0839E+15,161423550,4.54E+15,0.843222546,109
1.99317E+15,162904500,4.38E+15,0.851992478,110
1.90381E+15,164385450,4.23E+15,0.860445406,111
1.81599E+15,165866400,4.07E+15,0.868581041,112
1.72984E+15,167347350,3.91E+15,0.876399912,113
1.64549E+15,168828300,3.75E+15,0.883903337,114
1.56306E+15,170309250,3.60E+15,0.891093401,115
1.48266E+15,171790200,3.44E+15,0.897972925,116
1.40438E+15,173271150,3.29E+15,0.904545432,117
1.32832E+15,174752100,3.13E+15,0.91081511,118
1.25455E+15,176233050,2.99E+15,0.916786776,119
1.18314E+15,177714000,2.84E+15,0.922465834,120
1.11413E+15,179194950,2.70E+15,0.927858234,121
1.04758E+15,180675900,2.56E+15,0.932970425,122
9.83514E+14,182156850,2.42E+15,0.937809315,123
9.21957E+14,183637800,2.29E+15,0.94238222,124
8.6292E+14,185118750,2.16E+15,0.946696821,125
8.06408E+14,186599700,2.03E+15,0.950761118,126
7.52414E+14,188080650,1.91E+15,0.954583381,127
7.00923E+14,189561600,1.79E+15,0.958172105,128
6.51911E+14,191042550,1.68E+15,0.961535966,129
6.05348E+14,192523500,1.57E+15,0.964683775,130
5.61195E+14,194004450,1.47E+15,0.967624438,131
5.19408E+14,195485400,1.37E+15,0.97036691,132
4.79934E+14,196966350,1.28E+15,0.972920162,133
4.42719E+14,198447300,1.19E+15,0.975293135,134
4.07699E+14,199928250,1.10E+15,0.977494712,135
3.7481E+14,201409200,1.02E+15,0.97953368,136
3.43982E+14,202890150,9.43E+14,0.981418701,137
3.15142E+14,204371100,8.70E+14,0.983158283,138
2.88214E+14,205852050,8.01E+14,0.984760755,139
2.63122E+14,207333000,7.37E+14,0.98623424,140
2.39787E+14,208813950,6.76E+14,0.98758664,141
2.18129E+14,210294900,6.19E+14,0.988825613,142
1.98067E+14,211775850,5.66E+14,0.989958558,143
1.79522E+14,213256800,5.17E+14,0.990992606,144
1.62413E+14,214737750,4.71E+14,0.991934604,145
1.46662E+14,216218700,4.28E+14,0.99279111,146
1.3219E+14,217699650,3.89E+14,0.993568386,147
1.1892E+14,219180600,3.52E+14,0.994272395,148
1.06779E+14,220661550,3.18E+14,0.994908798,149
9.56928E+13,222142500,2.87E+14,0.995482954,150
