Bu,,t,,v,,Npnum,Np
49,2.00E+19,7.26E+07,0.119481026,3.75488E+15,2.00E-02,0.00E+00,0
50,2.00E+19,7.40E+07,0.127291468,3.90522E+15,2.00E-02,1.95E+17,0
51,2.00E+19,7.55E+07,0.135403409,4.05597E+15,2.00E-02,2.03E+17,0
52,2.00E+19,7.70E+07,0.143817069,4.20683E+15,2.00E-02,2.10E+17,0
53,2.00E+19,7.85E+07,0.152532053,4.35749E+15,2.00E-02,2.18E+17,0
54,2.00E+19,8.00E+07,0.161547329,4.50764E+15,2.00E-02,2.25E+17,0
55,2.00E+19,8.15E+07,0.170861213,4.65694E+15,2.00E-02,2.33E+17,0
56,2.00E+19,8.29E+07,0.180471356,4.80507E+15,2.00E-02,2.40E+17,0
57,2.00E+19,8.44E+07,0.19037473,4.95169E+15,2.00E-02,2.48E+17,0
58,2.00E+19,8.59E+07,0.200567617,5.09644E+15,2.00E-02,2.55E+17,0
59,2.00E+19,8.74E+07,0.211045598,5.23899E+15,2.00E-02,2.62E+17,0
60,2.00E+19,8.89E+07,0.221803551,5.37898E+15,2.00E-02,2.69E+17,0
61,2.00E+19,9.03E+07,0.232835644,5.51605E+15,2.00E-02,2.76E+17,0
62,2.00E+19,9.18E+07,0.244135333,5.64984E+15,2.00E-02,2.82E+17,0
63,2.00E+19,9.33E+07,0.255695364,5.78002E+15,2.00E-02,2.89E+17,0
64,2.00E+19,9.48E+07,0.267507775,5.90621E+15,2.00E-02,2.95E+17,0
65,2.00E+19,9.63E+07,0.279563905,6.02807E+15,2.00E-02,3.01E+17,0
66,2.00E+19,9.77E+07,0.291854401,6.14525E+15,2.00E-02,3.07E+17,0
67,2.00E+19,9.92E+07,0.304369228,6.25741E+15,2.00E-02,3.13E+17,0
68,2.00E+19,1.01E+08,0.317097689,6.36423E+15,2.00E-02,3.18E+17,0
69,2.00E+19,1.02E+08,0.330028439,6.46538E+15,2.00E-02,3.23E+17,0
70,2.00E+19,1.04E+08,0.34314951,6.56054E+15,2.00E-02,3.28E+17,0
71,2.00E+19,1.05E+08,0.35644833,6.64941E+15,2.00E-02,3.32E+17,0
72,2.00E+19,1.07E+08,0.369911753,6.73171E+15,2.00E-02,3.37E+17,0
73,2.00E+19,1.08E+08,0.38352609,6.80717E+15,2.00E-02,3.40E+17,0
74,2.00E+19,1.10E+08,0.397277139,6.87552E+15,2.00E-02,3.44E+17,0
75,2.00E+19,1.11E+08,0.411150224,6.93654E+15,2.00E-02,3.47E+17,0
76,2.00E+19,1.13E+08,0.425130233,6.99E+15,2.00E-02,3.50E+17,0
77,2.00E+19,1.14E+08,0.439201654,7.03571E+15,2.00E-02,3.52E+17,0
78,2.00E+19,1.16E+08,0.453348627,7.07349E+15,2.00E-02,3.54E+17,0
