 N , t ,v, alpha, bu 
3.90522E+14,74047500,3.91E+15,0.127291468,50
4.05597E+14,75528450,4.06E+15,0.135403409,51
4.20683E+14,77009400,4.21E+15,0.143817069,52
4.35749E+14,78490350,4.36E+15,0.152532053,53
4.50764E+14,79971300,4.51E+15,0.161547329,54
4.65694E+14,81452250,4.66E+15,0.170861213,55
4.80507E+14,82933200,4.81E+15,0.180471356,56
4.95169E+14,84414150,4.95E+15,0.19037473,57
5.09644E+14,85895100,5.10E+15,0.200567617,58
5.23899E+14,87376050,5.24E+15,0.211045598,59
5.37898E+14,88857000,5.38E+15,0.221803551,60
5.51605E+14,90337950,5.52E+15,0.232835644,61
5.64984E+14,91818900,5.65E+15,0.244135333,62
5.78002E+14,93299850,5.78E+15,0.255695364,63
5.90621E+14,94780800,5.91E+15,0.267507775,64
6.02807E+14,96261750,6.03E+15,0.279563905,65
6.14525E+14,97742700,6.15E+15,0.291854401,66
6.25741E+14,99223650,6.26E+15,0.304369228,67
6.36423E+14,100704600,6.36E+15,0.317097689,68
6.46538E+14,102185550,6.47E+15,0.330028439,69
6.56054E+14,103666500,6.56E+15,0.34314951,70
6.64941E+14,105147450,6.65E+15,0.35644833,71
6.73171E+14,106628400,6.73E+15,0.369911753,72
6.80717E+14,108109350,6.81E+15,0.38352609,73
6.87552E+14,109590300,6.88E+15,0.397277139,74
6.93654E+14,111071250,6.94E+15,0.411150224,75
6.99E+14,112552200,6.99E+15,0.425130233,76
7.03571E+14,114033150,7.04E+15,0.439201654,77
7.07349E+14,115514100,7.07E+15,0.453348627,78
7.10318E+14,116995050,7.10E+15,0.467554985,79
7.12466E+14,118476000,7.12E+15,0.4818043,80
7.13782E+14,119956950,7.14E+15,0.496079941,81
7.14259E+14,121437900,7.14E+15,0.510365116,82
7.13891E+14,122918850,7.14E+15,0.524642932,83
7.12676E+14,124399800,7.13E+15,0.538896448,84
7.10614E+14,125880750,7.11E+15,0.553108729,85
7.07709E+14,127361700,7.08E+15,0.567262904,86
7.03966E+14,128842650,7.04E+15,0.581342219,87
6.99394E+14,130323600,6.99E+15,0.5953301,88
6.94005E+14,131804550,6.94E+15,0.609210203,89
6.87814E+14,133285500,6.88E+15,0.622966474,90
6.80836E+14,134766450,6.81E+15,0.6365832,91
6.73093E+14,136247400,6.73E+15,0.650045069,92
6.64607E+14,137728350,6.65E+15,0.663337215,93
6.55403E+14,139209300,6.55E+15,0.676445274,94
6.45508E+14,140690250,6.46E+15,0.689355431,95
6.34952E+14,142171200,6.35E+15,0.702054464,96
6.23766E+14,143652150,6.24E+15,0.714529789,97
6.11986E+14,145133100,6.12E+15,0.726769501,98
5.99645E+14,146614050,6.00E+15,0.738762409,99
5.86783E+14,148095000,5.87E+15,0.750498072,100
5.73438E+14,149575950,5.73E+15,0.761966827,101
5.59649E+14,151056900,5.60E+15,0.773159816,102
5.4546E+14,152537850,5.45E+15,0.784069007,103
5.3091E+14,154018800,5.31E+15,0.794687216,104
5.16045E+14,155499750,5.16E+15,0.805008115,105
5.00907E+14,156980700,5.01E+15,0.815026245,106
4.85539E+14,158461650,4.86E+15,0.824737022,107
4.69986E+14,159942600,4.70E+15,0.834136736,108
4.54291E+14,161423550,4.54E+15,0.843222546,109
4.38497E+14,162904500,4.38E+15,0.851992478,110
4.22646E+14,164385450,4.23E+15,0.860445406,111
4.06782E+14,165866400,4.07E+15,0.868581041,112
3.90944E+14,167347350,3.91E+15,0.876399912,113
3.75171E+14,168828300,3.75E+15,0.883903337,114
3.59503E+14,170309250,3.60E+15,0.891093401,115
3.43976E+14,171790200,3.44E+15,0.897972925,116
3.28625E+14,173271150,3.29E+15,0.904545432,117
3.13484E+14,174752100,3.13E+15,0.91081511,118
2.98583E+14,176233050,2.99E+15,0.916786776,119
2.83953E+14,177714000,2.84E+15,0.922465834,120
2.6962E+14,179194950,2.70E+15,0.927858234,121
2.5561E+14,180675900,2.56E+15,0.932970425,122
2.41944E+14,182156850,2.42E+15,0.937809315,123
2.28645E+14,183637800,2.29E+15,0.94238222,124
2.1573E+14,185118750,2.16E+15,0.946696821,125
2.03215E+14,186599700,2.03E+15,0.950761118,126
1.91113E+14,188080650,1.91E+15,0.954583381,127
1.79436E+14,189561600,1.79E+15,0.958172105,128
1.68193E+14,191042550,1.68E+15,0.961535966,129
1.5739E+14,192523500,1.57E+15,0.964683775,130
1.47033E+14,194004450,1.47E+15,0.967624438,131
1.37124E+14,195485400,1.37E+15,0.97036691,132
1.27663E+14,196966350,1.28E+15,0.972920162,133
1.18649E+14,198447300,1.19E+15,0.975293135,134
1.10079E+14,199928250,1.10E+15,0.977494712,135
1.01948E+14,201409200,1.02E+15,0.97953368,136
9.42511E+13,202890150,9.43E+14,0.981418701,137
8.69791E+13,204371100,8.70E+14,0.983158283,138
8.01236E+13,205852050,8.01E+14,0.984760755,139
7.36743E+13,207333000,7.37E+14,0.98623424,140
6.762E+13,208813950,6.76E+14,0.98758664,141
6.19486E+13,210294900,6.19E+14,0.988825613,142
5.66473E+13,211775850,5.66E+14,0.989958558,143
5.17024E+13,213256800,5.17E+14,0.990992606,144
4.70999E+13,214737750,4.71E+14,0.991934604,145
4.28253E+13,216218700,4.28E+14,0.99279111,146
3.88638E+13,217699650,3.89E+14,0.993568386,147
3.52004E+13,219180600,3.52E+14,0.994272395,148
3.18201E+13,220661550,3.18E+14,0.994908798,149
2.87078E+13,222142500,2.87E+14,0.995482954,150
