Jo,Jw,JA,eps,fluid velocity,Jl,Xo,Xw,Xa,rhohom,armand ,epsminarm,S,epsHomo,epsmineepsho,armnew,epsminarnew
0.54,0.66,0.75,0.42,1.2,1.2,#NAME?,,0.384615,#NAME?,#NAME?,#NAME?,1.6,0.384615,0.035385,0.3203846,0.099615
0.54,0.66,1.5,0.44,1.2,1.2,0.2,0.244444,0.555556,421.8333,0.37037,0.06963,0.8,0.555556,-0.11556,0.4627778,-0.02278
0.54,0.66,2.25,0.42,1.2,1.2,0.156522,0.191304,0.652174,330.1304,0.289855,0.130145,0.533333,0.652174,-0.23217,0.5432609,-0.12326
0.54,0.88,0.75,0.4,1.42,1.42,0.248848,0.40553,0.345622,625.9908,0.545315,-0.14531,1.893333,0.345622,0.054378,0.2879032,0.112097
0.54,0.88,1.5,0.4,1.42,1.42,0.184932,0.30137,0.513699,465.2055,0.405251,-0.00525,0.946667,0.513699,-0.1137,0.427911,-0.02791
0.54,0.88,2.25,0.4,1.42,1.42,0.147139,0.239782,0.613079,370.1362,0.322434,0.077566,0.631111,0.613079,-0.21308,0.5106948,-0.11069
0.54,1.10 ,0.75,0.31,1.64,1.64,0.225941,0.460251,0.313808,660.1883,0.571827,-0.26183,2.186667,0.313808,-0.00381,0.2614017,0.048598
0.54,1.10 ,1.5,0.35,1.64,1.64,0.171975,0.350318,0.477707,502.5,0.435244,-0.08524,1.093333,0.477707,-0.12771,0.3979299,-0.04793
0.54,1.10 ,2.25,0.36,1.64,1.64,0.138817,0.282776,0.578406,405.617,0.351328,0.008672,0.728889,0.578406,-0.21841,0.4818123,-0.12181
0.54,1.32,0.75,0.27,1.86,1.86,0.206897,0.505747,0.287356,688.6207,0.59387,-0.32387,2.48,0.287356,-0.01736,0.2393678,0.030632
0.54,1.32,1.5,0.31,1.86,1.86,0.160714,0.392857,0.446429,534.9107,0.46131,-0.15131,1.24,0.446429,-0.13643,0.371875,-0.06188
0.54,1.32,2.25,0.37,1.86,1.86,0.131387,0.321168,0.547445,437.2993,0.377129,-0.00713,0.826667,0.547445,-0.17745,0.4560219,-0.08602
0.72,0.66,0.75,0.38,1.38,1.38,0.338028,0.309859,0.352113,609.9296,0.539906,-0.15991,1.84,0.352113,0.027887,0.2933099,0.08669
0.72,0.66,1.5,0.41,1.38,1.38,0.25,0.229167,0.520833,451.0938,0.399306,0.010694,0.92,0.520833,-0.11083,0.4338542,-0.02385
0.72,0.66,2.25,0.45,1.38,1.38,0.198347,0.181818,0.619835,357.8926,0.316804,0.133196,0.613333,0.619835,-0.16983,0.5163223,-0.06632
0.72,0.88,0.75,0.32,1.6,1.6,0.306383,0.374468,0.319149,646.2128,0.567376,-0.24738,2.133333,0.319149,0.000851,0.2658511,0.054149
0.72,0.88,1.5,0.34,1.6,1.6,0.232258,0.283871,0.483871,489.871,0.430108,-0.09011,1.066667,0.483871,-0.14387,0.4030645,-0.06306
0.72,0.88,2.25,0.38,1.6,1.6,0.187013,0.228571,0.584416,394.4416,0.34632,0.03368,0.711111,0.584416,-0.20442,0.4868182,-0.10682
0.72,1.10 ,0.75,0.33,1.82,1.82,0.280156,0.428016,0.291829,676.284,0.590143,-0.26014,2.426667,0.291829,0.038171,0.2430934,0.086907
0.72,1.10 ,1.5,0.38,1.82,1.82,0.216867,0.331325,0.451807,523.509,0.456827,-0.07683,1.213333,0.451807,-0.07181,0.3763554,0.003645
0.72,1.10 ,2.25,0.38,1.82,1.82,0.176904,0.27027,0.552826,427.0393,0.372645,0.007355,0.808889,0.552826,-0.17283,0.4605037,-0.0805
0.72,1.32,0.75,0.25,2.04,2.04,0.258065,0.473118,0.268817,701.6129,0.609319,-0.35932,2.72,0.268817,-0.01882,0.2239247,0.026075
0.72,1.32,1.5,0.29,2.04,2.04,0.20339,0.372881,0.423729,552.9661,0.480226,-0.19023,1.36,0.423729,-0.13373,0.3529661,-0.06297
0.72,1.32,2.25,0.30 ,2.04,2.04,0.167832,0.307692,0.524476,456.2937,0.39627,-0.09627,0.906667,0.524476,-0.22448,0.4368881,-0.13689
0.89,0.66,0.75,0.35,1.55,1.55,0.386957,0.286957,0.326087,630.6304,0.561594,-0.21159,2.066667,0.326087,0.023913,0.2716304,0.07837
0.89,0.66,1.5,0.38,1.55,1.55,0.291803,0.216393,0.491803,475.5574,0.423497,-0.0435,1.033333,0.491803,-0.1118,0.4096721,-0.02967
0.89,0.66,2.25,0.40 ,1.55,1.55,0.234211,0.173684,0.592105,381.6974,0.339912,0.060088,0.688889,0.592105,-0.19211,0.4932237,-0.09322
0.89,0.88,0.75,0.32,1.77,1.77,0.353175,0.349206,0.297619,662.6587,0.585317,-0.26532,2.36,0.297619,0.022381,0.2479167,0.072083
0.89,0.88,1.5,0.37,1.77,1.77,0.272171,0.269113,0.458716,510.6728,0.45107,-0.08107,1.18,0.458716,-0.08872,0.3821101,-0.01211
0.89,0.88,2.25,0.38,1.77,1.77,0.221393,0.218905,0.559701,415.398,0.366915,0.013085,0.786667,0.559701,-0.1797,0.4662313,-0.08623
0.89,1.10 ,0.75,0.30 ,1.99,1.99,0.324818,0.40146,0.273723,689.5438,0.605231,-0.30523,2.653333,0.273723,0.026277,0.2280109,0.071989
0.89,1.10 ,1.5,0.31,1.99,1.99,0.255014,0.315186,0.429799,541.361,0.475167,-0.16517,1.326667,0.429799,-0.1198,0.3580229,-0.04802
0.89,1.10 ,2.25,0.37,1.99,1.99,0.209906,0.259434,0.53066,445.6014,0.391116,-0.02112,0.884444,0.53066,-0.16066,0.4420401,-0.07204
0.89,1.32,0.75,0.24,2.21,2.21,0.300676,0.445946,0.253378,712.4324,0.622185,-0.38218,2.946667,0.253378,-0.01338,0.2110642,0.028936
0.89,1.32,1.5,0.30 ,2.21,2.21,0.239892,0.355795,0.404313,568.4097,0.496406,-0.19641,1.473333,0.404313,-0.10431,0.3367925,-0.03679
0.89,1.32,2.25,0.35,2.21,2.21,0.199552,0.295964,0.504484,472.8251,0.41293,-0.06293,0.982222,0.504484,-0.15448,0.4202354,-0.07024
1.07,0.66,0.75,0.31,1.73,1.73,0.431452,0.266129,0.302419,649.4556,0.581317,-0.27132,2.306667,0.302419,0.007581,0.2519153,0.058085
1.07,0.66,1.5,0.32,1.73,1.73,0.331269,0.204334,0.464396,498.6533,0.446336,-0.12634,1.153333,0.464396,-0.1444,0.3868421,-0.06684
1.07,0.66,2.25,0.40 ,1.73,1.73,0.268844,0.165829,0.565327,404.6859,0.362228,0.037772,0.768889,0.565327,-0.16533,0.4709171,-0.07092
1.07,0.88,0.75,0.24,1.95,1.95,0.396296,0.325926,0.277778,677.8148,0.601852,-0.36185,2.6,0.277778,-0.03778,0.2313889,0.008611
1.07,0.88,1.5,0.35,1.95,1.95,0.310145,0.255072,0.434783,530.4638,0.471014,-0.12101,1.3,0.434783,-0.08478,0.3621739,-0.01217
1.07,0.88,2.25,0.36,1.95,1.95,0.254762,0.209524,0.535714,435.7381,0.386905,-0.0269,0.866667,0.535714,-0.17571,0.44625,-0.08625
1.07,1.10 ,0.75,1.19,2.17,2.17,0.366438,0.376712,0.256849,701.9007,0.619292,0.570708,2.893333,0.256849,0.933151,0.2139555,0.976045
1.07,1.10 ,1.5,0.27,2.17,2.17,0.291553,0.299728,0.408719,558.4605,0.492734,-0.22273,1.446667,0.408719,-0.13872,0.3404632,-0.07046
1.07,1.10 ,2.25,0.34,2.17,2.17,0.242081,0.248869,0.50905,463.6991,0.409125,-0.06913,0.964444,0.50905,-0.16905,0.4240385,-0.08404
1.07,1.32,0.75,0.09,2.39,2.39,0.340764,0.420382,0.238854,722.6115,0.634289,-0.54429,3.186667,0.238854,-0.14885,0.198965,-0.10896
1.07,1.32,1.5,0.15,2.39,2.39,0.275064,0.339332,0.385604,583.2905,0.511997,-0.362,1.593333,0.385604,-0.2356,0.3212082,-0.17121
1.07,1.32,2.25,0.19,2.39,2.39,0.230603,0.284483,0.484914,489.0086,0.429239,-0.23924,1.062222,0.484914,-0.29491,0.4039332,-0.21393
