 N , t ,v, alpha, bu 
2.07E+22,74047500,3.91E+15,0.127291468,50
2.10E+22,75528450,4.06E+15,0.135403409,51
2.02E+22,77009400,4.21E+15,0.143817069,52
2.23E+22,78490350,4.36E+15,0.152532053,53
2.48E+22,79971300,4.51E+15,0.161547329,54
2.03E+22,81452250,4.66E+15,0.170861213,55
2.42E+22,82933200,4.81E+15,0.180471356,56
2.84E+22,84414150,4.95E+15,0.19037473,57
3.12E+22,85895100,5.10E+15,0.200567617,58
2.64E+22,87376050,5.24E+15,0.211045598,59
3.06E+22,88857000,5.38E+15,0.221803551,60
3.08E+22,90337950,5.52E+15,0.232835644,61
2.57E+22,91818900,5.65E+15,0.244135333,62
2.68E+22,93299850,5.78E+15,0.255695364,63
2.26E+21,94780800,5.91E+15,0.267507775,64
2.61E+22,96261750,6.03E+15,0.279563905,65
3.25E+22,97742700,6.15E+15,0.291854401,66
3.25E+22,99223650,6.26E+15,0.304369228,67
3.52E+21,100704600,6.36E+15,0.317097689,68
2.68E+22,102185550,6.47E+15,0.330028439,69
4.05E+22,103666500,6.56E+15,0.34314951,70
3.01E+22,105147450,6.65E+15,0.35644833,71
3.92E+21,106628400,6.73E+15,0.369911753,72
3.14E+22,108109350,6.81E+15,0.38352609,73
3.52E+22,109590300,6.88E+15,0.397277139,74
4.32E+22,111071250,6.94E+15,0.411150224,75
2.97E+22,112552200,6.99E+15,0.425130233,76
3.97E+22,114033150,7.04E+15,0.439201654,77
3.38E+22,115514100,7.07E+15,0.453348627,78
2.87E+22,116995050,7.10E+15,0.467554985,79
2.93E+22,118476000,7.12E+15,0.4818043,80
3.03E+22,119956950,7.14E+15,0.496079941,81
3.42E+22,121437900,7.14E+15,0.510365116,82
3.49E+22,122918850,7.14E+15,0.524642932,83
4.08E+22,124399800,7.13E+15,0.538896448,84
4.00E+22,125880750,7.11E+15,0.553108729,85
2.88E+21,127361700,7.08E+15,0.567262904,86
2.98E+22,128842650,7.04E+15,0.581342219,87
3.21E+22,130323600,6.99E+15,0.5953301,88
3.86E+20,131804550,6.94E+15,0.609210203,89
3.40E+22,133285500,6.88E+15,0.622966474,90
4.08E+22,134766450,6.81E+15,0.6365832,91
3.52E+22,136247400,6.73E+15,0.650045069,92
2.60E+22,137728350,6.65E+15,0.663337215,93
2.96E+22,139209300,6.55E+15,0.676445274,94
3.86E+22,140690250,6.46E+15,0.689355431,95
3.01E+22,142171200,6.35E+15,0.702054464,96
3.30E+22,143652150,6.24E+15,0.714529789,97
2.71E+22,145133100,6.12E+15,0.726769501,98
3.18E+22,146614050,6.00E+15,0.738762409,99
3.64E+22,148095000,5.87E+15,0.750498072,100
2.43E+22,149575950,5.73E+15,0.761966827,101
3.28E+22,151056900,5.60E+15,0.773159816,102
3.09E+22,152537850,5.45E+15,0.784069007,103
2.05E+22,154018800,5.31E+15,0.794687216,104
2.86E+22,155499750,5.16E+15,0.805008115,105
2.71E+22,156980700,5.01E+15,0.815026245,106
2.45E+22,158461650,4.86E+15,0.824737022,107
2.50E+22,159942600,4.70E+15,0.834136736,108
2.45E+22,161423550,4.54E+15,0.843222546,109
1.78E+22,162904500,4.38E+15,0.851992478,110
2.40E+22,164385450,4.23E+15,0.860445406,111
1.74E+22,165866400,4.07E+15,0.868581041,112
2.27E+22,167347350,3.91E+15,0.876399912,113
1.93E+22,168828300,3.75E+15,0.883903337,114
1.94E+22,170309250,3.60E+15,0.891093401,115
1.78E+22,171790200,3.44E+15,0.897972925,116
1.90E+22,173271150,3.29E+15,0.904545432,117
1.58E+22,174752100,3.13E+15,0.91081511,118
1.52E+22,176233050,2.99E+15,0.916786776,119
1.32E+22,177714000,2.84E+15,0.922465834,120
1.33E+22,179194950,2.70E+15,0.927858234,121
1.48E+22,180675900,2.56E+15,0.932970425,122
1.42E+22,182156850,2.42E+15,0.937809315,123
1.07E+22,183637800,2.29E+15,0.94238222,124
1.10E+22,185118750,2.16E+15,0.946696821,125
9.79E+21,186599700,2.03E+15,0.950761118,126
7.93E+21,188080650,1.91E+15,0.954583381,127
6.93E+21,189561600,1.79E+15,0.958172105,128
9.02E+21,191042550,1.68E+15,0.961535966,129
9.62E+21,192523500,1.57E+15,0.964683775,130
6.40E+21,194004450,1.47E+15,0.967624438,131
8.57E+21,195485400,1.37E+15,0.97036691,132
7.07E+21,196966350,1.28E+15,0.972920162,133
6.47E+21,198447300,1.19E+15,0.975293135,134
4.28E+21,199928250,1.10E+15,0.977494712,135
5.11E+21,201409200,1.02E+15,0.97953368,136
3.67E+20,202890150,9.43E+14,0.981418701,137
4.71E+21,204371100,8.70E+14,0.983158283,138
4.66E+21,205852050,8.01E+14,0.984760755,139
4.04E+21,207333000,7.37E+14,0.98623424,140
3.80E+21,208813950,6.76E+14,0.98758664,141
2.76E+21,210294900,6.19E+14,0.988825613,142
2.39E+21,211775850,5.66E+14,0.989958558,143
3.02E+21,213256800,5.17E+14,0.990992606,144
2.91E+21,214737750,4.71E+14,0.991934604,145
1.65E+21,216218700,4.28E+14,0.99279111,146
1.56E+21,217699650,3.89E+14,0.993568386,147
1.81E+21,219180600,3.52E+14,0.994272395,148
1.94E+21,220661550,3.18E+14,0.994908798,149
1.16E+21,222142500,2.87E+14,0.995482954,150
