N, t ,v, alpha, bu , N ,x (/),N`
1.04E+01,75528450,3.91E+15,0.127291468,50,3.91E+16,0,#DIV/0!
1.02E+01,77009400,4.06E+15,0.135403409,51,4.06E+16,0.01,537545785.7
9.99E+00,78490350,4.21E+15,0.143817069,52,4.21E+16,0.02,546686508.4
9.88E+00,79971300,4.36E+15,0.152532053,53,4.36E+16,0.03,555482298.1
9.80E+00,81452250,4.51E+15,0.161547329,54,4.51E+16,0.04,563952317.9
9.73E+00,82933200,4.66E+15,0.170861213,55,4.66E+16,0.05,572114336.9
9.68E+00,84414150,4.81E+15,0.180471356,56,4.81E+16,0.06,579984855.3
9.63E+00,85895100,4.95E+15,0.19037473,57,4.95E+16,0.07,586394579.6
9.59E+00,87376050,5.10E+15,0.200567617,58,5.10E+16,0.08,593747489.7
9.56E+00,88857000,5.24E+15,0.211045598,59,5.24E+16,0.09,599706670.2
9.53E+00,90337950,5.38E+15,0.221803551,60,5.38E+16,0.1,605467211.4
9.50E+00,91818900,5.52E+15,0.232835644,61,5.52E+16,0.11,611038882.3
9.48E+00,93299850,5.65E+15,0.244135333,62,5.65E+16,0.12,615341721.6
9.45E+00,94780800,5.78E+15,0.255695364,63,5.78E+16,0.13,619507962.8
9.43E+00,96261750,5.91E+15,0.267507775,64,5.91E+16,0.14,623544008.9
9.41E+00,97742700,6.03E+15,0.279563905,65,6.03E+16,0.15,626417034.8
9.40E+00,99223650,6.15E+15,0.291854401,66,6.15E+16,0.16,629202999.3
9.38E+00,100704600,6.26E+15,0.304369228,67,6.26E+16,0.17,630897976.4
9.36E+00,102185550,6.36E+15,0.317097689,68,6.36E+16,0.18,631550098
9.35E+00,103666500,6.47E+15,0.330028439,69,6.47E+16,0.19,633161929.5
9.33E+00,105147450,6.56E+15,0.34314951,70,6.56E+16,0.2,632798445
9.32E+00,106628400,6.65E+15,0.35644833,71,6.65E+16,0.21,632445199.6
9.30E+00,108109350,6.73E+15,0.369911753,72,6.73E+16,0.22,631163930.1
9.29E+00,109590300,6.81E+15,0.38352609,73,6.81E+16,0.23,629917763.8
9.27E+00,111071250,6.88E+15,0.397277139,74,6.88E+16,0.24,627792788.2
9.26E+00,112552200,6.94E+15,0.411150224,75,6.94E+16,0.25,624824155.7
9.25E+00,114033150,6.99E+15,0.425130233,76,6.99E+16,0.26,621045168.4
9.23E+00,115514100,7.04E+15,0.439201654,77,7.04E+16,0.27,617364336.6
9.22E+00,116995050,7.07E+15,0.453348627,78,7.07E+16,0.28,612046494.8
9.20E+00,118476000,7.10E+15,0.467554985,79,7.10E+16,0.29,606863281.8
9.19E+00,119956950,7.12E+15,0.4818043,80,7.12E+16,0.3,600965596.4
9.18E+00,121437900,7.14E+15,0.496079941,81,7.14E+16,0.31,595213532.9
9.16E+00,122918850,7.14E+15,0.510365116,82,7.14E+16,0.32,587954831.2
9.15E+00,124399800,7.14E+15,0.524642932,83,7.14E+16,0.33,580871038.1
9.14E+00,125880750,7.13E+15,0.538896448,84,7.13E+16,0.34,573152046.9
9.12E+00,127361700,7.11E+15,0.553108729,85,7.11E+16,0.35,564820276.3
9.11E+00,128842650,7.08E+15,0.567262904,86,7.08E+16,0.36,555897102.5
9.09E+00,130323600,7.04E+15,0.581342219,87,7.04E+16,0.37,546402918.6
9.08E+00,131804550,6.99E+15,0.5953301,88,6.99E+16,0.38,536357190.9
9.06E+00,133285500,6.94E+15,0.609210203,89,6.94E+16,0.39,526537209.8
9.05E+00,134766450,6.88E+15,0.622966474,90,6.88E+16,0.4,516185181.4
9.03E+00,136247400,6.81E+15,0.6365832,91,6.81E+16,0.41,505318645.7
9.02E+00,137728350,6.73E+15,0.650045069,92,6.73E+16,0.42,493954380.1
9.00E+00,139209300,6.65E+15,0.663337215,93,6.65E+16,0.43,482834507.2
8.99E+00,140690250,6.55E+15,0.676445274,94,6.55E+16,0.44,470514541.8
8.97E+00,142171200,6.46E+15,0.689355431,95,6.46E+16,0.45,459164725.4
8.95E+00,143652150,6.35E+15,0.702054464,96,6.35E+16,0.46,446644608.8
8.93E+00,145133100,6.24E+15,0.714529789,97,6.24E+16,0.47,434382638.9
8.92E+00,146614050,6.12E+15,0.726769501,98,6.12E+16,0.48,421681890.6
8.90E+00,148095000,6.00E+15,0.738762409,99,6.00E+16,0.49,409237723.1
8.88E+00,149575950,5.87E+15,0.750498072,100,5.87E+16,0.5,396367196.7
8.86E+00,151056900,5.73E+15,0.761966827,101,5.73E+16,0.51,383082975.6
8.84E+00,152537850,5.60E+15,0.773159816,102,5.60E+16,0.52,370721231.5
8.82E+00,154018800,5.45E+15,0.784069007,103,5.45E+16,0.53,357288371.4
8.80E+00,155499750,5.31E+15,0.794687216,104,5.31E+16,0.54,344763106.8
8.78E+00,156980700,5.16E+15,0.805008115,105,5.16E+16,0.55,331833330.9
8.76E+00,158461650,5.01E+15,0.815026245,106,5.01E+16,0.56,319147513
8.74E+00,159942600,4.86E+15,0.824737022,107,4.86E+16,0.57,306698813.3
8.72E+00,161423550,4.70E+15,0.834136736,108,4.70E+16,0.58,293855420.6
8.69E+00,162904500,4.54E+15,0.843222546,109,4.54E+16,0.59,281247686.6
8.67E+00,164385450,4.38E+15,0.851992478,110,4.38E+16,0.6,268869184.1
8.65E+00,165866400,4.23E+15,0.860445406,111,4.23E+16,0.61,257322044
