 N , t ,v, alpha, bu 
1.99E+17,74195595,3.99E+15,0.127291468,50
2.00E+17,74343690,4.00E+15,0.135403409,51
2.01E+17,74491785,4.02E+15,0.143817069,52
2.02E+17,74639880,4.03E+15,0.152532053,53
2.02E+17,74787975,4.05E+15,0.161547329,54
2.03E+17,74936070,4.06E+15,0.170861213,55
2.04E+17,75084165,4.08E+15,0.180471356,56
2.05E+17,75232260,4.09E+15,0.19037473,57
2.05E+17,75380355,4.11E+15,0.200567617,58
2.06E+17,75528450,4.12E+15,0.211045598,59
2.07E+17,75676545,4.14E+15,0.221803551,60
2.08E+17,75824640,4.15E+15,0.232835644,61
2.08E+17,75972735,4.17E+15,0.244135333,62
2.09E+17,76120830,4.18E+15,0.255695364,63
2.10E+17,76268925,4.20E+15,0.267507775,64
2.11E+17,76417020,4.21E+15,0.279563905,65
2.11E+17,76565115,4.23E+15,0.291854401,66
2.12E+17,76713210,4.24E+15,0.304369228,67
2.13E+17,76861305,4.26E+15,0.317097689,68
2.14E+17,77009400,4.27E+15,0.330028439,69
2.14E+17,77157495,4.29E+15,0.34314951,70
2.15E+17,77305590,4.30E+15,0.35644833,71
2.16E+17,77453685,4.32E+15,0.369911753,72
2.17E+17,77601780,4.33E+15,0.38352609,73
2.17E+17,77749875,4.35E+15,0.397277139,74
2.18E+17,77897970,4.37E+15,0.411150224,75
2.19E+17,78046065,4.38E+15,0.425130233,76
2.20E+17,78194160,4.40E+15,0.439201654,77
2.21E+17,78342255,4.41E+15,0.453348627,78
2.21E+17,78490350,4.43E+15,0.467554985,79
2.22E+17,78638445,4.44E+15,0.4818043,80
2.23E+17,78786540,4.46E+15,0.496079941,81
2.24E+17,78934635,4.47E+15,0.510365116,82
2.24E+17,79082730,4.49E+15,0.524642932,83
2.25E+17,79230825,4.50E+15,0.538896448,84
2.26E+17,79378920,4.52E+15,0.553108729,85
2.27E+17,79527015,4.53E+15,0.567262904,86
2.27E+17,79675110,4.55E+15,0.581342219,87
2.28E+17,79823205,4.56E+15,0.5953301,88
2.29E+17,79971300,4.57E+15,0.609210203,89
2.29E+17,80119395,4.59E+15,0.622966474,90
2.30E+17,80267490,4.60E+15,0.6365832,91
2.31E+17,80415585,4.62E+15,0.650045069,92
2.32E+17,80563680,4.63E+15,0.663337215,93
2.32E+17,80711775,4.65E+15,0.676445274,94
2.33E+17,80859870,4.66E+15,0.689355431,95
2.34E+17,81007965,4.68E+15,0.702054464,96
2.35E+17,81156060,4.69E+15,0.714529789,97
2.35E+17,81304155,4.71E+15,0.726769501,98
2.36E+17,81452250,4.72E+15,0.738762409,99
2.37E+17,81600345,4.74E+15,0.750498072,100
2.38E+17,81748440,4.75E+15,0.761966827,101
2.38E+17,81896535,4.77E+15,0.773159816,102
2.39E+17,82044630,4.78E+15,0.784069007,103
2.40E+17,82192725,4.80E+15,0.794687216,104
2.41E+17,82340820,4.81E+15,0.805008115,105
2.41E+17,82488915,4.83E+15,0.815026245,106
2.42E+17,82637010,4.84E+15,0.824737022,107
2.43E+17,82785105,4.86E+15,0.834136736,108
2.44E+17,82933200,4.87E+15,0.843222546,109
2.44E+17,83081295,4.89E+15,0.851992478,110
2.45E+17,83229390,4.90E+15,0.860445406,111
