 N , t ,v, alpha, bu , N ,x (/),N`,y (/),, t ,N`,,
3.91E+16,0,1.38E+11,0.127291468,50,0.00E+00,0,#DIV/0!,,,74047500,#DIV/0!,,
4.06E+16,1480950,1.27E+12,0.135403409,51,6.92E+12,0.01,537545785.7,,,75528450,10.44,0,1
4.21E+16,2961900,4.08E+12,0.143817069,52,6.37E+13,0.02,546686508.4,,,77009400,10.15,0.01010101,0.91
4.36E+16,4442850,8.91E+12,0.152532053,53,2.04E+14,0.03,555482298.1,,,78490350,9.99,0.02020202,0.86
4.51E+16,5923800,1.60E+13,0.161547329,54,4.45E+14,0.04,563952317.9,,,79971300,9.88,0.03030303,0.82
4.66E+16,7404750,2.56E+13,0.170861213,55,8.00E+14,0.05,572114336.9,,,81452250,9.8,0.04040404,0.8
4.81E+16,8885700,3.79E+13,0.180471356,56,1.28E+15,0.06,579984855.3,,,82933200,9.73,0.050505051,0.78
4.95E+16,10366650,5.29E+13,0.19037473,57,1.89E+15,0.07,586394579.6,,,84414150,9.68,0.060606061,0.76
5.10E+16,11847600,7.10E+13,0.200567617,58,2.65E+15,0.08,593747489.7,,,85895100,9.63,0.070707071,0.74
5.24E+16,13328550,9.22E+13,0.211045598,59,3.55E+15,0.09,599706670.2,,,87376050,9.59,0.080808081,0.73
5.38E+16,14809500,1.17E+14,0.221803551,60,4.61E+15,0.1,605467211.4,,,88857000,9.56,0.090909091,0.72
5.52E+16,16290450,1.44E+14,0.232835644,61,5.83E+15,0.11,611038882.3,,,90337950,9.53,0.101010101,0.71
5.65E+16,17771400,1.75E+14,0.244135333,62,7.21E+15,0.12,615341721.6,,,91818900,9.5,0.111111111,0.7
5.78E+16,19252350,2.10E+14,0.255695364,63,8.77E+15,0.13,619507962.8,,,93299850,9.48,0.121212121,0.7
5.91E+16,20733300,2.48E+14,0.267507775,64,1.05E+16,0.14,623544008.9,,,94780800,9.45,0.131313131,0.69
6.03E+16,22214250,2.90E+14,0.279563905,65,1.24E+16,0.15,626417034.8,,,96261750,9.43,0.141414141,0.68
6.15E+16,23695200,3.36E+14,0.291854401,66,1.45E+16,0.16,629202999.3,,,97742700,9.41,0.151515152,0.68
6.26E+16,25176150,3.86E+14,0.304369228,67,1.68E+16,0.17,630897976.4,,,99223650,9.4,0.161616162,0.67
6.36E+16,26657100,4.39E+14,0.317097689,68,1.93E+16,0.18,631550098,,,100704600,9.38,0.171717172,0.66
6.47E+16,28138050,4.96E+14,0.330028439,69,2.19E+16,0.19,633161929.5,,,102185550,9.36,0.181818182,0.66
6.56E+16,29619000,5.58E+14,0.34314951,70,2.48E+16,0.2,632798445,,,103666500,9.35,0.191919192,0.65
6.65E+16,31099950,6.23E+14,0.35644833,71,2.79E+16,0.21,632445199.6,,,105147450,9.33,0.202020202,0.65
6.73E+16,32580900,6.92E+14,0.369911753,72,3.11E+16,0.22,631163930.1,,,106628400,9.32,0.212121212,0.64
6.81E+16,34061850,7.65E+14,0.38352609,73,3.46E+16,0.23,629917763.8,,,108109350,9.3,0.222222222,0.64
6.88E+16,35542800,8.43E+14,0.397277139,74,3.83E+16,0.24,627792788.2,,,109590300,9.29,0.232323232,0.63
6.94E+16,37023750,9.24E+14,0.411150224,75,4.21E+16,0.25,624824155.7,,,111071250,9.27,0.242424242,0.63
6.99E+16,38504700,1.01E+15,0.425130233,76,4.62E+16,0.26,621045168.4,,,112552200,9.26,0.252525253,0.63
7.04E+16,39985650,1.10E+15,0.439201654,77,5.05E+16,0.27,617364336.6,,,114033150,9.25,0.262626263,0.62
7.07E+16,41466600,1.19E+15,0.453348627,78,5.50E+16,0.28,612046494.8,,,115514100,9.23,0.272727273,0.62
7.10E+16,42947550,1.29E+15,0.467554985,79,5.96E+16,0.29,606863281.8,,,116995050,9.22,0.282828283,0.61
7.12E+16,44428500,1.39E+15,0.4818043,80,6.45E+16,0.3,600965596.4,,,118476000,9.2,0.292929293,0.61
7.14E+16,45909450,1.50E+15,0.496079941,81,6.96E+16,0.31,595213532.9,,,119956950,9.19,0.303030303,0.6
7.14E+16,47390400,1.61E+15,0.510365116,82,7.48E+16,0.32,587954831.2,,,121437900,9.18,0.313131313,0.6
7.14E+16,48871350,1.72E+15,0.524642932,83,8.03E+16,0.33,580871038.1,,,122918850,9.16,0.323232323,0.6
7.13E+16,50352300,1.83E+15,0.538896448,84,8.59E+16,0.34,573152046.9,,,124399800,9.15,0.333333333,0.59
7.11E+16,51833250,1.95E+15,0.553108729,85,9.17E+16,0.35,564820276.3,,,125880750,9.14,0.343434343,0.59
7.08E+16,53314200,2.08E+15,0.567262904,86,9.77E+16,0.36,555897102.5,,,127361700,9.12,0.353535354,0.58
7.04E+16,54795150,2.20E+15,0.581342219,87,1.04E+17,0.37,546402918.6,,,128842650,9.11,0.363636364,0.58
6.99E+16,56276100,2.33E+15,0.5953301,88,1.10E+17,0.38,536357190.9,,,130323600,9.09,0.373737374,0.57
6.94E+16,57757050,2.46E+15,0.609210203,89,1.17E+17,0.39,526537209.8,,,131804550,9.08,0.383838384,0.57
6.88E+16,59238000,2.60E+15,0.622966474,90,1.23E+17,0.4,516185181.4,,,133285500,9.06,0.393939394,0.56
6.81E+16,60718950,2.74E+15,0.6365832,91,1.30E+17,0.41,505318645.7,,,134766450,9.05,0.404040404,0.56
6.73E+16,62199900,2.88E+15,0.650045069,92,1.37E+17,0.42,493954380.1,,,136247400,9.03,0.414141414,0.55
6.65E+16,63680850,3.02E+15,0.663337215,93,1.44E+17,0.43,482834507.2,,,137728350,9.02,0.424242424,0.55
6.55E+16,65161800,3.16E+15,0.676445274,94,1.51E+17,0.44,470514541.8,,,139209300,9,0.434343434,0.54
6.46E+16,66642750,3.31E+15,0.689355431,95,1.58E+17,0.45,459164725.4,,,140690250,8.99,0.444444444,0.54
6.35E+16,68123700,3.46E+15,0.702054464,96,1.65E+17,0.46,446644608.8,,,142171200,8.97,0.454545455,0.53
6.24E+16,69604650,3.61E+15,0.714529789,97,1.73E+17,0.47,434382638.9,,,143652150,8.95,0.464646465,0.53
6.12E+16,71085600,3.75E+15,0.726769501,98,1.80E+17,0.48,421681890.6,,,145133100,8.93,0.474747475,0.52
6.00E+16,72566550,3.91E+15,0.738762409,99,1.88E+17,0.49,409237723.1,,,146614050,8.92,0.484848485,0.52
5.87E+16,74047500,4.06E+15,0.750498072,100,1.95E+17,0.5,396367196.7,,,148095000,8.9,0.494949495,0.51
5.73E+16,75528450,4.21E+15,0.761966827,101,2.03E+17,0.51,383082975.6,,,149575950,8.88,0.505050505,0.51
5.60E+16,77009400,4.36E+15,0.773159816,102,2.10E+17,0.52,370721231.5,,,151056900,8.86,0.515151515,0.5
5.45E+16,78490350,4.51E+15,0.784069007,103,2.18E+17,0.53,357288371.4,,,152537850,8.84,0.525252525,0.49
5.31E+16,79971300,4.66E+15,0.794687216,104,2.25E+17,0.54,344763106.8,,,154018800,8.82,0.535353535,0.49
5.16E+16,81452250,4.81E+15,0.805008115,105,2.33E+17,0.55,331833330.9,,,155499750,8.8,0.545454545,0.48
5.01E+16,82933200,4.95E+15,0.815026245,106,2.40E+17,0.56,319147513,,,156980700,8.78,0.555555556,0.47
4.86E+16,84414150,5.10E+15,0.824737022,107,2.48E+17,0.57,306698813.3,,,158461650,8.76,0.565656566,0.47
4.70E+16,85895100,5.24E+15,0.834136736,108,2.55E+17,0.58,293855420.6,,,159942600,8.74,0.575757576,0.46
4.54E+16,87376050,5.38E+15,0.843222546,109,2.62E+17,0.59,281247686.6,,,161423550,8.72,0.585858586,0.45
4.38E+16,88857000,5.52E+15,0.851992478,110,2.69E+17,0.6,268869184.1,,,162904500,8.69,0.595959596,0.45
4.23E+16,90337950,5.65E+15,0.860445406,111,2.76E+17,0.61,257322044,,,164385450,8.67,0.606060606,0.44
4.07E+16,91818900,5.78E+15,0.868581041,112,2.82E+17,0.62,245378208,,,165866400,8.65,0.616161616,0.43
3.91E+16,93299850,5.91E+15,0.876399912,113,2.89E+17,0.63,233645767.3,,,167347350,8.62,0.626262626,0.42
3.75E+16,94780800,6.03E+15,0.883903337,114,2.95E+17,0.64,222119158.9,,,168828300,8.6,0.636363636,0.42
3.60E+16,96261750,6.15E+15,0.891093401,115,3.01E+17,0.65,211380180.5,,,170309250,8.57,0.646464646,0.41
3.44E+16,97742700,6.26E+15,0.897972925,116,3.07E+17,0.66,200244251.4,,,171790200,8.55,0.656565657,0.4
3.29E+16,99223650,6.36E+15,0.904545432,117,3.13E+17,0.67,189875810.3,,,173271150,8.52,0.666666667,0.39
3.13E+16,100704600,6.47E+15,0.91081511,118,3.18E+17,0.68,179110866.2,,,174752100,8.49,0.676767677,0.38
2.99E+16,102185550,6.56E+15,0.916786776,119,3.23E+17,0.69,169661706.5,,,176233050,8.47,0.686868687,0.37
2.84E+16,103666500,6.65E+15,0.922465834,120,3.28E+17,0.7,159807330.9,,,177714000,8.44,0.696969697,0.37
2.70E+16,105147450,6.73E+15,0.927858234,121,3.32E+17,0.71,150673889,,,179194950,8.41,0.707070707,0.36
2.56E+16,106628400,6.81E+15,0.932970425,122,3.37E+17,0.72,141690175.6,,,180675900,8.38,0.717171717,0.35
2.42E+16,108109350,6.88E+15,0.937809315,123,3.40E+17,0.73,132852538.9,,,182156850,8.35,0.727272727,0.34
2.29E+16,109590300,6.94E+15,0.94238222,124,3.44E+17,0.74,124701994.9,,,183637800,8.32,0.737373737,0.33
2.16E+16,111071250,6.99E+15,0.946696821,125,3.47E+17,0.75,116681859.6,,,185118750,8.29,0.747474747,0.32
2.03E+16,112552200,7.04E+15,0.950761118,126,3.50E+17,0.76,108789028.1,,,186599700,8.26,0.757575758,0.31
1.91E+16,114033150,7.07E+15,0.954583381,127,3.52E+17,0.77,101552179.9,,,188080650,8.22,0.767676768,0.3
1.79E+16,115514100,7.10E+15,0.958172105,128,3.54E+17,0.78,94428407.44,,,189561600,8.19,0.777777778,0.29
1.68E+16,116995050,7.12E+15,0.961535966,129,3.55E+17,0.79,87938524.69,,,191042550,8.16,0.787878788,0.28
1.57E+16,118476000,7.14E+15,0.964683775,130,3.56E+17,0.8,81548486.29,,,192523500,8.12,0.797979798,0.27
1.47E+16,119956950,7.14E+15,0.967624438,131,3.57E+17,0.81,75771457.82,,,194004450,8.09,0.808080808,0.25
1.37E+16,121437900,7.14E+15,0.97036691,132,3.57E+17,0.82,70081960.08,,,195485400,8.05,0.818181818,0.24
1.28E+16,122918850,7.13E+15,0.972920162,133,3.57E+17,0.83,64985719.64,,,196966350,8.02,0.828282828,0.23
1.19E+16,124399800,7.11E+15,0.975293135,134,3.56E+17,0.84,59965542.49,,,198447300,7.98,0.838383838,0.22
1.10E+16,125880750,7.08E+15,0.977494712,135,3.55E+17,0.85,55019738.33,,,199928250,7.94,0.848484848,0.21
1.02E+16,127361700,7.04E+15,0.97953368,136,3.54E+17,0.86,50643168.24,,,201409200,7.9,0.858585859,0.2
9.43E+15,128842650,6.99E+15,0.981418701,137,3.52E+17,0.87,46478352.94,,,202890150,7.86,0.868686869,0.18
8.70E+15,130323600,6.94E+15,0.983158283,138,3.50E+17,0.88,42569619.68,,,204371100,7.82,0.878787879,0.17
8.01E+15,131804550,6.88E+15,0.984760755,139,3.47E+17,0.89,38911441.49,,,205852050,7.78,0.888888889,0.16
7.37E+15,133285500,6.81E+15,0.98623424,140,3.44E+17,0.9,35546680.94,,,207333000,7.74,0.898989899,0.14
6.76E+15,134766450,6.73E+15,0.98758664,141,3.40E+17,0.91,32373316.05,,,208813950,7.7,0.909090909,0.13
6.19E+15,136247400,6.65E+15,0.988825613,142,3.37E+17,0.92,29434855.53,,,210294900,7.66,0.919191919,0.12
5.66E+15,137728350,6.55E+15,0.989958558,143,3.32E+17,0.93,26726371.3,,,211775850,7.61,0.929292929,0.1
5.17E+15,139209300,6.46E+15,0.990992606,144,3.28E+17,0.94,24243072.2,,,213256800,7.57,0.939393939,0.09
4.71E+15,140690250,6.35E+15,0.991934604,145,3.23E+17,0.95,21933730.79,,,214737750,7.52,0.949494949,0.08
4.28E+15,142171200,6.24E+15,0.99279111,146,3.17E+17,0.96,19794772.61,,,216218700,7.48,0.95959596,0.06
3.89E+15,143652150,6.12E+15,0.993568386,147,3.12E+17,0.97,17868655.28,,,217699650,7.43,0.96969697,0.05
3.52E+15,145133100,6.00E+15,0.994272395,148,3.06E+17,0.98,16059815.51,,,219180600,7.38,0.97979798,0.03
3.18E+15,146614050,5.87E+15,0.994908798,149,3.00E+17,0.99,14411210.29,,,220661550,7.34,0.98989899,0.02
2.87E+15,148095000,2.87E+14,0.995482954,150,2.93E+17,1,12919634.92,,,222142500,7.29,1,0
