N,tnew ,v, alpha, bu 
1.04E+01,0,3.91E+15,0.127291468,50
1.02E+01,1480950,4.06E+15,0.135403409,51
9.99E+00,2961900,4.21E+15,0.143817069,52
9.88E+00,4442850,4.36E+15,0.152532053,53
9.80E+00,5923800,4.51E+15,0.161547329,54
9.73E+00,7404750,4.66E+15,0.170861213,55
9.68E+00,8885700,4.81E+15,0.180471356,56
9.63E+00,10366650,4.95E+15,0.19037473,57
9.59E+00,11847600,5.10E+15,0.200567617,58
9.56E+00,13328550,5.24E+15,0.211045598,59
9.53E+00,14809500,5.38E+15,0.221803551,60
9.50E+00,16290450,5.52E+15,0.232835644,61
9.48E+00,17771400,5.65E+15,0.244135333,62
9.45E+00,19252350,5.78E+15,0.255695364,63
9.43E+00,20733300,5.91E+15,0.267507775,64
9.41E+00,22214250,6.03E+15,0.279563905,65
9.40E+00,23695200,6.15E+15,0.291854401,66
9.38E+00,25176150,6.26E+15,0.304369228,67
9.36E+00,26657100,6.36E+15,0.317097689,68
9.35E+00,28138050,6.47E+15,0.330028439,69
9.33E+00,29619000,6.56E+15,0.34314951,70
9.32E+00,31099950,6.65E+15,0.35644833,71
9.30E+00,32580900,6.73E+15,0.369911753,72
9.29E+00,34061850,6.81E+15,0.38352609,73
9.27E+00,35542800,6.88E+15,0.397277139,74
9.26E+00,37023750,6.94E+15,0.411150224,75
9.25E+00,38504700,6.99E+15,0.425130233,76
9.23E+00,39985650,7.04E+15,0.439201654,77
9.22E+00,41466600,7.07E+15,0.453348627,78
9.20E+00,42947550,7.10E+15,0.467554985,79
9.19E+00,44428500,7.12E+15,0.4818043,80
9.18E+00,45909450,7.14E+15,0.496079941,81
9.16E+00,47390400,7.14E+15,0.510365116,82
9.15E+00,48871350,7.14E+15,0.524642932,83
9.14E+00,50352300,7.13E+15,0.538896448,84
9.12E+00,51833250,7.11E+15,0.553108729,85
9.11E+00,53314200,7.08E+15,0.567262904,86
9.09E+00,54795150,7.04E+15,0.581342219,87
9.08E+00,56276100,6.99E+15,0.5953301,88
9.06E+00,57757050,6.94E+15,0.609210203,89
9.05E+00,59238000,6.88E+15,0.622966474,90
9.03E+00,60718950,6.81E+15,0.6365832,91
9.02E+00,62199900,6.73E+15,0.650045069,92
9.00E+00,63680850,6.65E+15,0.663337215,93
8.99E+00,65161800,6.55E+15,0.676445274,94
8.97E+00,66642750,6.46E+15,0.689355431,95
8.95E+00,68123700,6.35E+15,0.702054464,96
8.93E+00,69604650,6.24E+15,0.714529789,97
8.92E+00,71085600,6.12E+15,0.726769501,98
8.90E+00,72566550,6.00E+15,0.738762409,99
8.88E+00,74047500,5.87E+15,0.750498072,100
8.86E+00,75528450,5.73E+15,0.761966827,101
8.84E+00,77009400,5.60E+15,0.773159816,102
8.82E+00,78490350,5.45E+15,0.784069007,103
8.80E+00,79971300,5.31E+15,0.794687216,104
8.78E+00,81452250,5.16E+15,0.805008115,105
8.76E+00,82933200,5.01E+15,0.815026245,106
8.74E+00,84414150,4.86E+15,0.824737022,107
8.72E+00,85895100,4.70E+15,0.834136736,108
8.69E+00,87376050,4.54E+15,0.843222546,109
8.67E+00,88857000,4.38E+15,0.851992478,110
8.65E+00,90337950,4.23E+15,0.860445406,111
8.62E+00,91818900,4.07E+15,0.868581041,112
8.60E+00,93299850,3.91E+15,0.876399912,113
8.57E+00,94780800,3.75E+15,0.883903337,114
8.55E+00,96261750,3.60E+15,0.891093401,115
8.52E+00,97742700,3.44E+15,0.897972925,116
8.49E+00,99223650,3.29E+15,0.904545432,117
8.47E+00,100704600,3.13E+15,0.91081511,118
8.44E+00,102185550,2.99E+15,0.916786776,119
8.41E+00,103666500,2.84E+15,0.922465834,120
8.38E+00,105147450,2.70E+15,0.927858234,121
8.35E+00,106628400,2.56E+15,0.932970425,122
8.32E+00,108109350,2.42E+15,0.937809315,123
8.29E+00,109590300,2.29E+15,0.94238222,124
8.26E+00,111071250,2.16E+15,0.946696821,125
8.22E+00,112552200,2.03E+15,0.950761118,126
8.19E+00,114033150,1.91E+15,0.954583381,127
8.16E+00,115514100,1.79E+15,0.958172105,128
8.12E+00,116995050,1.68E+15,0.961535966,129
8.09E+00,118476000,1.57E+15,0.964683775,130
8.05E+00,119956950,1.47E+15,0.967624438,131
8.02E+00,121437900,1.37E+15,0.97036691,132
7.98E+00,122918850,1.28E+15,0.972920162,133
7.94E+00,124399800,1.19E+15,0.975293135,134
7.90E+00,125880750,1.10E+15,0.977494712,135
7.86E+00,127361700,1.02E+15,0.97953368,136
7.82E+00,128842650,9.43E+14,0.981418701,137
7.78E+00,130323600,8.70E+14,0.983158283,138
7.74E+00,131804550,8.01E+14,0.984760755,139
7.70E+00,133285500,7.37E+14,0.98623424,140
7.66E+00,134766450,6.76E+14,0.98758664,141
7.61E+00,136247400,6.19E+14,0.988825613,142
7.57E+00,137728350,5.66E+14,0.989958558,143
7.52E+00,139209300,5.17E+14,0.990992606,144
7.48E+00,140690250,4.71E+14,0.991934604,145
7.43E+00,142171200,4.28E+14,0.99279111,146
7.38E+00,143652150,3.89E+14,0.993568386,147
7.34E+00,145133100,3.52E+14,0.994272395,148
7.29E+00,146614050,3.18E+14,0.994908798,149
,,,,
