 N ,t,v, alpha, bu 
1.56E+17,72538019.01,3.91E+15,0.127291468,50
1.74E+17,73900267.49,4.06E+15,0.135403409,51
2.53E+17,77398725.85,4.21E+15,0.143817069,52
2.40E+17,77698152.03,4.36E+15,0.152532053,53
2.47E+17,77982709.39,4.51E+15,0.161547329,54
2.62E+17,82700237.85,4.66E+15,0.170861213,55
2.21E+17,82504646.11,4.81E+15,0.180471356,56
1.97E+17,86474198.9,4.95E+15,0.19037473,57
3.10E+17,85401293.6,5.10E+15,0.200567617,58
2.36E+17,85428946.25,5.24E+15,0.211045598,59
3.13E+17,87215559.96,5.38E+15,0.221803551,60
3.39E+17,89572708.7,5.52E+15,0.232835644,61
3.40E+17,90020770.5,5.65E+15,0.244135333,62
2.46E+17,95489374.7,5.78E+15,0.255695364,63
2.59E+17,94088104.8,5.91E+15,0.267507775,64
3.73E+17,94598929.94,6.03E+15,0.279563905,65
3.29E+17,96442967.56,6.15E+15,0.291854401,66
3.19E+17,98812888.53,6.26E+15,0.304369228,67
3.79E+17,103185990.3,6.36E+15,0.317097689,68
3.62E+17,100386171.3,6.47E+15,0.330028439,69
3.13E+17,105494390.5,6.56E+15,0.34314951,70
2.89E+17,103333374.2,6.65E+15,0.35644833,71
3.79E+17,106142033.7,6.73E+15,0.369911753,72
2.90E+17,110615328,6.81E+15,0.38352609,73
3.54E+17,111773068.6,6.88E+15,0.397277139,74
3.89E+17,109192453.7,6.94E+15,0.411150224,75
3.07E+17,109886176.6,6.99E+15,0.425130233,76
3.04E+17,115688559.3,7.04E+15,0.439201654,77
2.72E+17,112981155.7,7.07E+15,0.453348627,78
4.03E+17,114136937.1,7.10E+15,0.467554985,79
3.46E+17,118525964.9,7.12E+15,0.4818043,80
3.24E+17,117537510.9,7.14E+15,0.496079941,81
3.41E+17,124416665.5,7.14E+15,0.510365116,82
3.16E+17,120501213.7,7.14E+15,0.524642932,83
2.71E+17,124153276.5,7.13E+15,0.538896448,84
2.97E+17,126296129.9,7.11E+15,0.553108729,85
3.89E+17,124797437,7.08E+15,0.567262904,86
2.70E+17,129328740.4,7.04E+15,0.581342219,87
2.87E+17,128495043.5,6.99E+15,0.5953301,88
3.73E+17,133461439,6.94E+15,0.609210203,89
3.02E+17,134772361.6,6.88E+15,0.622966474,90
3.72E+17,134301841.3,6.81E+15,0.6365832,91
3.81E+17,134217843.5,6.73E+15,0.650045069,92
2.63E+17,134688833,6.65E+15,0.663337215,93
3.83E+17,138596910.8,6.55E+15,0.676445274,94
2.81E+17,141584334.3,6.46E+15,0.689355431,95
3.29E+17,141683957.5,6.35E+15,0.702054464,96
3.22E+17,145962414.1,6.24E+15,0.714529789,97
3.65E+17,141646994,6.12E+15,0.726769501,98
3.53E+17,143511830.6,6.00E+15,0.738762409,99
3.17E+17,148157679.2,5.87E+15,0.750498072,100
2.93E+17,149631894.4,5.73E+15,0.761966827,101
3.32E+17,149244289.2,5.60E+15,0.773159816,102
3.12E+17,150716762.9,5.45E+15,0.784069007,103
2.20E+17,150538814,5.31E+15,0.794687216,104
2.20E+17,153451889.7,5.16E+15,0.805008115,105
3.13E+17,156436814.2,5.01E+15,0.815026245,106
2.43E+17,158908225.9,4.86E+15,0.824737022,107
2.24E+17,156731583.3,4.70E+15,0.834136736,108
2.71E+17,164210644,4.54E+15,0.843222546,109
1.81E+17,161050233.6,4.38E+15,0.851992478,110
1.64E+17,167315968.5,4.23E+15,0.860445406,111
2.54E+17,162215897.9,4.07E+15,0.868581041,112
2.12E+17,164556292.4,3.91E+15,0.876399912,113
2.08E+17,171719895.8,3.75E+15,0.883903337,114
1.45E+17,169978715.4,3.60E+15,0.891093401,115
1.64E+17,172227756.8,3.44E+15,0.897972925,116
1.34E+17,169692121.7,3.29E+15,0.904545432,117
1.26E+17,177356102.4,3.13E+15,0.91081511,118
1.75E+17,175129187.7,2.99E+15,0.916786776,119
1.35E+17,176492794.4,2.84E+15,0.922465834,120
1.32E+17,183610730.7,2.70E+15,0.927858234,121
1.10E+17,181122645.8,2.56E+15,0.932970425,122
1.28E+17,185581901.5,2.42E+15,0.937809315,123
1.29E+17,182647096.2,2.29E+15,0.94238222,124
1.31E+17,184813578.8,2.16E+15,0.946696821,125
9.48E+16,186307285.9,2.03E+15,0.950761118,126
9.23E+16,184964384.2,1.91E+15,0.954583381,127
8.33E+16,186383463.4,1.79E+15,0.958172105,128
1.03E+17,189342201.9,1.68E+15,0.961535966,129
8.36E+16,194985934.6,1.57E+15,0.964683775,130
7.95E+16,195286522.6,1.47E+15,0.967624438,131
5.62E+16,198634795.9,1.37E+15,0.97036691,132
6.08E+16,193059198.4,1.28E+15,0.972920162,133
6.15E+16,201817121,1.19E+15,0.975293135,134
4.31E+16,204809713.5,1.10E+15,0.977494712,135
4.08E+16,199530577.3,1.02E+15,0.97953368,136
4.71E+16,198593083.7,9.43E+14,0.981418701,137
4.72E+16,205840680.5,8.70E+14,0.983158283,138
3.97E+16,208833004,8.01E+14,0.984760755,139
2.81E+16,206140520.9,7.37E+14,0.98623424,140
2.93E+16,211017742.9,6.76E+14,0.98758664,141
2.56E+16,205301604.6,6.19E+14,0.988825613,142
2.32E+16,216495966.9,5.66E+14,0.989958558,143
2.77E+16,211708845.8,5.17E+14,0.990992606,144
2.41E+16,215400688.5,4.71E+14,0.991934604,145
2.24E+16,212369518.5,4.28E+14,0.99279111,146
1.50E+16,216473875.2,3.89E+14,0.993568386,147
1.38E+16,223881853,3.52E+14,0.994272395,148
1.26E+16,215546141,3.18E+14,0.994908798,149
1.08E+16,226882655.1,2.87E+14,0.995482954,150
