Bu,fission rate density (fiss/m3-s),"irradiation time, t (s)","restructured volume fraction, a (/)","nucleation rate, ? (pores/m3-s)",,Np
0,2.00E+19,0.00E+00,0,0,,0
1,2.00E+19,1.48E+06,2.77E-07,1.385E+11,,0
2,2.00E+19,2.96E+06,2.82442E-06,1.27371E+12,,0
3,2.00E+19,4.44E+06,1.09858E-05,4.08071E+12,,0
4,2.00E+19,5.92E+06,2.87988E-05,8.90648E+12,,0
5,2.00E+19,7.40E+06,6.08158E-05,1.60085E+13,,0
6,2.00E+19,8.89E+06,0.000112011,2.55978E+13,,0
7,2.00E+19,1.04E+07,0.000187723,3.78558E+13,,0
8,2.00E+19,1.18E+07,0.000293608,5.29424E+13,,0.430537721
9,2.00E+19,1.33E+07,0.00043561,7.1001E+13,,0.313676045
10,2.00E+19,1.48E+07,0.000619934,9.21619E+13,,0.341809412
11,2.00E+19,1.63E+07,0.000853021,1.16544E+14,,0.430355206
12,2.00E+19,1.78E+07,0.001141534,1.44256E+14,,0.311344325
13,2.00E+19,1.93E+07,0.001492333,1.75399E+14,,0.24672288
14,2.00E+19,2.07E+07,0.001912463,2.10065E+14,,0.172115264
15,2.00E+19,2.22E+07,0.002409139,2.48338E+14,,0.0469324
16,2.00E+19,2.37E+07,0.002989728,2.90295E+14,,0.020408144
17,2.00E+19,2.52E+07,0.003661738,3.36005E+14,,
18,2.00E+19,2.67E+07,0.004432802,3.85532E+14,,
19,2.00E+19,2.81E+07,0.005310661,4.3893E+14,,
20,2.00E+19,2.96E+07,0.006303154,4.96247E+14,,
21,2.00E+19,3.11E+07,0.0074182,5.57523E+14,,
22,2.00E+19,3.26E+07,0.008663784,6.22792E+14,,
23,2.00E+19,3.41E+07,0.010047938,6.92077E+14,,
24,2.00E+19,3.55E+07,0.01157873,7.65396E+14,,
25,2.00E+19,3.70E+07,0.013264243,8.42756E+14,,
26,2.00E+19,3.85E+07,0.015112558,9.24158E+14,,
27,2.00E+19,4.00E+07,0.017131739,1.00959E+15,,
28,2.00E+19,4.15E+07,0.019329809,1.09904E+15,,
29,2.00E+19,4.29E+07,0.021714735,1.19246E+15,,
30,2.00E+19,4.44E+07,0.024294408,1.28984E+15,,
31,2.00E+19,4.59E+07,0.027076617,1.3911E+15,,
