Bu,,t,,v,,Npnumeric,Np
49,2E+19,72566550,0.119481026,3.75488E+15,0.0138,0,0
50,2E+19,74047500,0.127291468,3.90522E+15,0.0138,2.82973E+17,0
51,2E+19,75528450,0.135403409,4.05597E+15,0.0138,2.9391E+17,0
52,2E+19,77009400,0.143817069,4.20683E+15,0.0138,3.04842E+17,0
53,2E+19,78490350,0.152532053,4.35749E+15,0.0138,3.1576E+17,0
54,2E+19,79971300,0.161547329,4.50764E+15,0.0138,3.2664E+17,0
55,2E+19,81452250,0.170861213,4.65694E+15,0.0138,3.37459E+17,0
56,2E+19,82933200,0.180471356,4.80507E+15,0.0138,3.48193E+17,0
57,2E+19,84414150,0.19037473,4.95169E+15,0.0138,3.58817E+17,0
58,2E+19,85895100,0.200567617,5.09644E+15,0.0138,3.69307E+17,0
59,2E+19,87376050,0.211045598,5.23899E+15,0.0138,3.79636E+17,0
60,2E+19,88857000,0.221803551,5.37898E+15,0.0138,3.8978E+17,0
61,2E+19,90337950,0.232835644,5.51605E+15,0.0138,3.99713E+17,0
62,2E+19,91818900,0.244135333,5.64984E+15,0.0138,4.09409E+17,0
63,2E+19,93299850,0.255695364,5.78002E+15,0.0138,4.18841E+17,0
64,2E+19,94780800,0.267507775,5.90621E+15,0.0138,4.27985E+17,0
65,2E+19,96261750,0.279563905,6.02807E+15,0.0138,4.36816E+17,0
66,2E+19,97742700,0.291854401,6.14525E+15,0.0138,4.45307E+17,0
67,2E+19,99223650,0.304369228,6.25741E+15,0.0138,4.53435E+17,0
68,2E+19,100704600,0.317097689,6.36423E+15,0.0138,4.61176E+17,0
69,2E+19,102185550,0.330028439,6.46538E+15,0.0138,4.68505E+17,0
70,2E+19,103666500,0.34314951,6.56054E+15,0.0138,4.75401E+17,0
71,2E+19,105147450,0.35644833,6.64941E+15,0.0138,4.81841E+17,0
72,2E+19,106628400,0.369911753,6.73171E+15,0.0138,4.87805E+17,0
73,2E+19,108109350,0.38352609,6.80717E+15,0.0138,4.93273E+17,0
74,2E+19,109590300,0.397277139,6.87552E+15,0.0138,4.98226E+17,0
75,2E+19,111071250,0.411150224,6.93654E+15,0.0138,5.02648E+17,0
76,2E+19,112552200,0.425130233,6.99E+15,0.0138,5.06522E+17,0
77,2E+19,114033150,0.439201654,7.03571E+15,0.0138,5.09834E+17,0
78,2E+19,115514100,0.453348627,7.07349E+15,0.0138,5.12571E+17,0
79,2E+19,116995050,0.467554985,7.10318E+15,0.0138,5.14723E+17,0
80,2E+19,118476000,0.4818043,7.12466E+15,0.0138,5.16279E+17,0
81,2E+19,119956950,0.496079941,7.13782E+15,0.0138,5.17233E+17,0
82.34750462,2E+19,121952537,0.515328419,7.14227E+15,0.0138,5.17556E+17,0.279732001
83,2E+19,122918850,0.524642932,7.13761E+15,0.0138,5.17218E+17,0
84,2E+19,124399800,0.538896448,7.12676E+15,0.0138,5.16432E+17,0
85.58225508,2E+19,126743040.7,0.561358214,7.09802E+15,0.0138,5.1435E+17,0.315966793
86,2E+19,127361700,0.567262904,7.06734E+15,0.0138,5.12126E+17,0
87,2E+19,128842650,0.581342219,7.03966E+15,0.0138,5.1012E+17,0
88,2E+19,130323600,0.5953301,6.99394E+15,0.0138,5.06807E+17,0
89,2E+19,131804550,0.609210203,6.94005E+15,0.0138,5.02902E+17,0
90.11090573,2E+19,133449745.8,0.62448381,6.87439E+15,0.0138,4.98145E+17,0.479138828
91,2E+19,134766450,0.6365832,6.80433E+15,0.0138,4.93068E+17,0
92,2E+19,136247400,0.650045069,6.73093E+15,0.0138,4.87749E+17,0
93,2E+19,137728350,0.663337215,6.64607E+15,0.0138,4.816E+17,0
94,2E+19,139209300,0.676445274,6.55403E+15,0.0138,4.7493E+17,0
95,2E+19,140690250,0.689355431,6.45508E+15,0.0138,4.6776E+17,0
96.25693161,2E+19,142551702.9,0.705281612,6.33534E+15,0.0138,4.59083E+17,0.509294757
97,2E+19,143652150,0.714529789,6.22296E+15,0.0138,4.5094E+17,0
98,2E+19,145133100,0.726769501,6.11986E+15,0.0138,4.43468E+17,0
99,2E+19,146614050,0.738762409,5.99645E+15,0.0138,4.34526E+17,0
100,2E+19,148095000,0.750498072,5.86783E+15,0.0138,4.25206E+17,0
101,2E+19,149575950,0.761966827,5.73438E+15,0.0138,4.15535E+17,0
102.7264325,2E+19,152132710.2,0.781113233,5.54508E+15,0.0138,4.01818E+17,0.585794568
103.0499076,2E+19,152611760.7,0.784605891,5.39865E+15,0.0138,3.91208E+17,0.515261876
103.6968577,2E+19,153569861.4,0.791499517,5.32779E+15,0.0138,3.86072E+17,0.632131001
104.9907579,2E+19,155486062.9,0.804914106,5.18378E+15,0.0138,3.75637E+17,0.452771014
105,2E+19,155499750,0.805008115,5.08588E+15,0.0138,3.68579E+17,0
106,2E+19,156980700,0.815026245,5.00907E+15,0.0138,3.62976E+17,0
107,2E+19,158461650,0.824737022,4.85539E+15,0.0138,3.5184E+17,0
108,2E+19,159942600,0.834136736,4.69986E+15,0.0138,3.4057E+17,0
109.5194085,2E+19,162192768,0.847817239,4.50192E+15,0.0138,3.26226E+17,0.313676045
110.8133087,2E+19,164108969.5,0.858891409,4.27938E+15,0.0138,3.101E+17,0.430537721
111,2E+19,164385450,0.860445406,4.16194E+15,0.0138,3.01592E+17,0
112,2E+19,165866400,0.868581041,4.06782E+15,0.0138,2.9477E+17,0
113,2E+19,167347350,0.876399912,3.90944E+15,0.0138,2.83293E+17,0
114,2E+19,168828300,0.883903337,3.75171E+15,0.0138,2.71864E+17,0
115,2E+19,170309250,0.891093401,3.59503E+15,0.0138,2.6051E+17,0
116.3123845,2E+19,172252825.8,0.900058864,3.41572E+15,0.0138,2.47516E+17,0.341809412
117,2E+19,173271150,0.904545432,3.26241E+15,0.0138,2.36407E+17,0
118,2E+19,174752100,0.91081511,3.13484E+15,0.0138,2.27163E+17,0
119,2E+19,176233050,0.916786776,2.98583E+15,0.0138,2.16365E+17,0
120,2E+19,177714000,0.922465834,2.83953E+15,0.0138,2.05763E+17,0
121,2E+19,179194950,0.927858234,2.6962E+15,0.0138,1.95377E+17,0
122,2E+19,180675900,0.932970425,2.5561E+15,0.0138,1.85225E+17,0
123,2E+19,182156850,0.937809315,2.41944E+15,0.0138,1.75323E+17,0
124,2E+19,183637800,0.94238222,2.28645E+15,0.0138,1.65685E+17,0
125,2E+19,185118750,0.946696821,2.1573E+15,0.0138,1.56327E+17,0
126.663586,2E+19,187582437.7,0.953324012,1.99184E+15,0.0138,1.44337E+17,0.430355206
127,2E+19,188080650,0.954583381,1.87175E+15,0.0138,1.35636E+17,0
128,2E+19,189561600,0.958172105,1.79436E+15,0.0138,1.30027E+17,0
129,2E+19,191042550,0.961535966,1.68193E+15,0.0138,1.21879E+17,0
130,2E+19,192523500,0.964683775,1.5739E+15,0.0138,1.14051E+17,0
131,2E+19,194004450,0.967624438,1.47033E+15,0.0138,1.06546E+17,0
132,2E+19,195485400,0.97036691,1.37124E+15,0.0138,9.93653E+16,0
133,2E+19,196966350,0.972920162,1.27663E+15,0.0138,9.25094E+16,0
134,2E+19,198447300,0.975293135,1.18649E+15,0.0138,8.59776E+16,0
135,2E+19,199928250,0.977494712,1.10079E+15,0.0138,7.97676E+16,0
136,2E+19,201409200,0.97953368,1.01948E+15,0.0138,7.38759E+16,0
137.0147874,2E+19,202912049.4,0.981445463,9.41963E+14,0.0138,6.82584E+16,0.311344325
138,2E+19,204371100,0.983158283,8.69264E+14,0.0138,6.29904E+16,0
139,2E+19,205852050,0.984760755,8.01236E+14,0.0138,5.80608E+16,0
140,2E+19,207333000,0.98623424,7.36743E+14,0.0138,5.33874E+16,0
141,2E+19,208813950,0.98758664,6.762E+14,0.0138,4.90002E+16,0
142,2E+19,210294900,0.988825613,6.19486E+14,0.0138,4.48905E+16,0
143,2E+19,211775850,0.989958558,5.66473E+14,0.0138,4.10489E+16,0
144,2E+19,213256800,0.990992606,5.17024E+14,0.0138,3.74657E+16,0
145,2E+19,214737750,0.991934604,4.70999E+14,0.0138,3.41305E+16,0
146,2E+19,216218700,0.99279111,4.28253E+14,0.0138,3.1033E+16,0
147,2E+19,217699650,0.993568386,3.88638E+14,0.0138,2.81623E+16,0
148.9833641,2E+19,220636913.1,0.994898734,3.35377E+14,0.0138,2.43028E+16,0.24672288
149,2E+19,220661550,0.994908798,3.02465E+14,0.0138,2.19247E+16,0
150,2E+19,222142500,0.995482954,2.87078E+14,0.0138,2.08028E+16,0
151,2E+19,223623450,0.995999926,2.58486E+14,0.0138,1.87309E+16,0
152,2E+19,225104400,0.996464477,2.32275E+14,0.0138,1.68317E+16,0
153.1885397,2E+19,226864567.9,0.996954603,2.06189E+14,0.0138,1.49413E+16,0.172115264
154,2E+19,228066300,0.99725393,1.84437E+14,0.0138,1.33651E+16,0
155,2E+19,229547250,0.997586936,1.66503E+14,0.0138,1.20655E+16,0
156,2E+19,231028200,0.997883743,1.48403E+14,0.0138,1.07539E+16,0
157,2E+19,232509150,0.998147736,1.31997E+14,0.0138,9.56502E+15,0
158,2E+19,233990100,0.998382051,1.17158E+14,0.0138,8.48974E+15,0
159,2E+19,235471050,0.998589587,1.03768E+14,0.0138,7.51945E+15,0
160,2E+19,236952000,0.998773012,9.17126E+13,0.0138,6.64588E+15,0
161,2E+19,238432950,0.998934781,8.08844E+13,0.0138,5.86122E+15,0
162,2E+19,239913900,0.999077142,7.11806E+13,0.0138,5.15805E+15,0
163,2E+19,241394850,0.999202151,6.25048E+13,0.0138,4.52936E+15,0
164,2E+19,242875800,0.999311684,5.47662E+13,0.0138,3.96859E+15,0
165,2E+19,244356750,0.999407443,4.78797E+13,0.0138,3.46957E+15,0
166,2E+19,245837700,0.999490975,4.17661E+13,0.0138,3.02655E+15,0
167,2E+19,247318650,0.999563678,3.63515E+13,0.0138,2.63419E+15,0
168,2E+19,248799600,0.999626813,3.15675E+13,0.0138,2.28752E+15,0
169,2E+19,250280550,0.999681515,2.73507E+13,0.0138,1.98195E+15,0
170,2E+19,251761500,0.999728801,2.3643E+13,0.0138,1.71327E+15,0
