Bu,,t,,v,,Np
49,2E+19,72566550,0.119481026,3.75488E+15,0.02,0
50,2E+19,74047500,0.127291468,3.90522E+15,0.02,1.95254E+17
51,2E+19,75528450,0.135403409,4.05597E+15,0.02,2.02798E+17
52,2E+19,77009400,0.143817069,4.20683E+15,0.02,2.10341E+17
53,2E+19,78490350,0.152532053,4.35749E+15,0.02,2.17874E+17
54,2E+19,79971300,0.161547329,4.50764E+15,0.02,2.25382E+17
55,2E+19,81452250,0.170861213,4.65694E+15,0.02,2.32847E+17
56,2E+19,82933200,0.180471356,4.80507E+15,0.02,2.40253E+17
57,2E+19,84414150,0.19037473,4.95169E+15,0.02,2.47584E+17
58,2E+19,85895100,0.200567617,5.09644E+15,0.02,2.54822E+17
59,2E+19,87376050,0.211045598,5.23899E+15,0.02,2.61949E+17
60,2E+19,88857000,0.221803551,5.37898E+15,0.02,2.68949E+17
61,2E+19,90337950,0.232835644,5.51605E+15,0.02,2.75802E+17
62,2E+19,91818900,0.244135333,5.64984E+15,0.02,2.82492E+17
63,2E+19,93299850,0.255695364,5.78002E+15,0.02,2.89001E+17
64,2E+19,94780800,0.267507775,5.90621E+15,0.02,2.9531E+17
65,2E+19,96261750,0.279563905,6.02807E+15,0.02,3.01403E+17
66,2E+19,97742700,0.291854401,6.14525E+15,0.02,3.07262E+17
67,2E+19,99223650,0.304369228,6.25741E+15,0.02,3.1287E+17
68,2E+19,100704600,0.317097689,6.36423E+15,0.02,3.18211E+17
69,2E+19,102185550,0.330028439,6.46538E+15,0.02,3.23269E+17
70,2E+19,103666500,0.34314951,6.56054E+15,0.02,3.28027E+17
71,2E+19,105147450,0.35644833,6.64941E+15,0.02,3.3247E+17
72,2E+19,106628400,0.369911753,6.73171E+15,0.02,3.36585E+17
73,2E+19,108109350,0.38352609,6.80717E+15,0.02,3.40358E+17
74,2E+19,109590300,0.397277139,6.87552E+15,0.02,3.43776E+17
75,2E+19,111071250,0.411150224,6.93654E+15,0.02,3.46827E+17
76,2E+19,112552200,0.425130233,6.99E+15,0.02,3.495E+17
77,2E+19,114033150,0.439201654,7.03571E+15,0.02,3.51785E+17
78,2E+19,115514100,0.453348627,7.07349E+15,0.02,3.53674E+17
79,2E+19,116995050,0.467554985,7.10318E+15,0.02,3.55159E+17
80,2E+19,118476000,0.4818043,7.12466E+15,0.02,3.56233E+17
81,2E+19,119956950,0.496079941,7.13782E+15,0.02,3.56891E+17
82.34750462,2E+19,121952537,0.515328419,7.14227E+15,0.02,3.57113E+17
83,2E+19,122918850,0.524642932,7.13761E+15,0.02,3.5688E+17
84,2E+19,124399800,0.538896448,7.12676E+15,0.02,3.56338E+17
85.58225508,2E+19,126743040.7,0.561358214,7.09802E+15,0.02,3.54901E+17
86,2E+19,127361700,0.567262904,7.06734E+15,0.02,3.53367E+17
87,2E+19,128842650,0.581342219,7.03966E+15,0.02,3.51983E+17
88,2E+19,130323600,0.5953301,6.99394E+15,0.02,3.49697E+17
89,2E+19,131804550,0.609210203,6.94005E+15,0.02,3.47003E+17
90.11090573,2E+19,133449745.8,0.62448381,6.87439E+15,0.02,3.4372E+17
91,2E+19,134766450,0.6365832,6.80433E+15,0.02,3.40217E+17
92,2E+19,136247400,0.650045069,6.73093E+15,0.02,3.36547E+17
93,2E+19,137728350,0.663337215,6.64607E+15,0.02,3.32304E+17
94,2E+19,139209300,0.676445274,6.55403E+15,0.02,3.27702E+17
95,2E+19,140690250,0.689355431,6.45508E+15,0.02,3.22754E+17
96.25693161,2E+19,142551702.9,0.705281612,6.33534E+15,0.02,3.16767E+17
97,2E+19,143652150,0.714529789,6.22296E+15,0.02,3.11148E+17
98,2E+19,145133100,0.726769501,6.11986E+15,0.02,3.05993E+17
99,2E+19,146614050,0.738762409,5.99645E+15,0.02,2.99823E+17
100,2E+19,148095000,0.750498072,5.86783E+15,0.02,2.93392E+17
101,2E+19,149575950,0.761966827,5.73438E+15,0.02,2.86719E+17
102.7264325,2E+19,152132710.2,0.781113233,5.54508E+15,0.02,2.77254E+17
103.0499076,2E+19,152611760.7,0.784605891,5.39865E+15,0.02,2.69933E+17
103.6968577,2E+19,153569861.4,0.791499517,5.32779E+15,0.02,2.6639E+17
104.9907579,2E+19,155486062.9,0.804914106,5.18378E+15,0.02,2.59189E+17
105,2E+19,155499750,0.805008115,5.08588E+15,0.02,2.54312E+17
106,2E+19,156980700,0.815026245,5.00907E+15,0.02,2.50453E+17
107,2E+19,158461650,0.824737022,4.85539E+15,0.02,2.4277E+17
108,2E+19,159942600,0.834136736,4.69986E+15,0.02,2.34993E+17
109.5194085,2E+19,162192768,0.847817239,4.50192E+15,0.02,2.25096E+17
110.8133087,2E+19,164108969.5,0.858891409,4.27938E+15,0.02,2.13969E+17
111,2E+19,164385450,0.860445406,4.16194E+15,0.02,2.08098E+17
112,2E+19,165866400,0.868581041,4.06782E+15,0.02,2.03391E+17
113,2E+19,167347350,0.876399912,3.90944E+15,0.02,1.95472E+17
114,2E+19,168828300,0.883903337,3.75171E+15,0.02,1.87586E+17
115,2E+19,170309250,0.891093401,3.59503E+15,0.02,1.79752E+17
116.3123845,2E+19,172252825.8,0.900058864,3.41572E+15,0.02,1.70786E+17
117,2E+19,173271150,0.904545432,3.26241E+15,0.02,1.63121E+17
118,2E+19,174752100,0.91081511,3.13484E+15,0.02,1.56742E+17
119,2E+19,176233050,0.916786776,2.98583E+15,0.02,1.49292E+17
120,2E+19,177714000,0.922465834,2.83953E+15,0.02,1.41977E+17
121,2E+19,179194950,0.927858234,2.6962E+15,0.02,1.3481E+17
122,2E+19,180675900,0.932970425,2.5561E+15,0.02,1.27805E+17
123,2E+19,182156850,0.937809315,2.41944E+15,0.02,1.20972E+17
124,2E+19,183637800,0.94238222,2.28645E+15,0.02,1.14323E+17
125,2E+19,185118750,0.946696821,2.1573E+15,0.02,1.07865E+17
126.663586,2E+19,187582437.7,0.953324012,1.99184E+15,0.02,9.95921E+16
127,2E+19,188080650,0.954583381,1.87175E+15,0.02,9.35883E+16
128,2E+19,189561600,0.958172105,1.79436E+15,0.02,8.97182E+16
129,2E+19,191042550,0.961535966,1.68193E+15,0.02,8.40967E+16
130,2E+19,192523500,0.964683775,1.5739E+15,0.02,7.86954E+16
131,2E+19,194004450,0.967624438,1.47033E+15,0.02,7.35167E+16
132,2E+19,195485400,0.97036691,1.37124E+15,0.02,6.8562E+16
133,2E+19,196966350,0.972920162,1.27663E+15,0.02,6.38314E+16
134,2E+19,198447300,0.975293135,1.18649E+15,0.02,5.93245E+16
135,2E+19,199928250,0.977494712,1.10079E+15,0.02,5.50396E+16
136,2E+19,201409200,0.97953368,1.01948E+15,0.02,5.09743E+16
137.0147874,2E+19,202912049.4,0.981445463,9.41963E+14,0.02,4.70983E+16
138,2E+19,204371100,0.983158283,8.69264E+14,0.02,4.34633E+16
139,2E+19,205852050,0.984760755,8.01236E+14,0.02,4.00619E+16
140,2E+19,207333000,0.98623424,7.36743E+14,0.02,3.68372E+16
141,2E+19,208813950,0.98758664,6.762E+14,0.02,3.38101E+16
142,2E+19,210294900,0.988825613,6.19486E+14,0.02,3.09744E+16
143,2E+19,211775850,0.989958558,5.66473E+14,0.02,2.83237E+16
144,2E+19,213256800,0.990992606,5.17024E+14,0.02,2.58513E+16
145,2E+19,214737750,0.991934604,4.70999E+14,0.02,2.355E+16
146,2E+19,216218700,0.99279111,4.28253E+14,0.02,2.14127E+16
147,2E+19,217699650,0.993568386,3.88638E+14,0.02,1.9432E+16
148.9833641,2E+19,220636913.1,0.994898734,3.35377E+14,0.02,1.67689E+16
149,2E+19,220661550,0.994908798,3.02465E+14,0.02,1.51266E+16
